enterprise_id,month,in_all_invoice_count,in_valid_invoice_count,in_void_invoice_count,in_positive_invoice_count,in_negative_invoice_count,in_zero_invoice_count,in_valid_positive_invoice_count,in_valid_negative_invoice_count,in_valid_zero_invoice_count,in_positive_amount_10k,in_negative_amount_10k,in_net_amount_10k,in_abs_amount_10k,out_all_invoice_count,out_valid_invoice_count,out_void_invoice_count,out_positive_invoice_count,out_negative_invoice_count,out_zero_invoice_count,out_valid_positive_invoice_count,out_valid_negative_invoice_count,out_valid_zero_invoice_count,out_positive_amount_10k,out_negative_amount_10k,out_net_amount_10k,out_abs_amount_10k,active_month
E1,2018-04,120,119,1,119,1,0,118,1,0,30436.32958,20.592,30415.73758,30456.92158,273,270,3,256,17,0,253,17,0,19257.8276,1071.969213,18185.85839,20329.79681,True
E1,2018-05,135,114,21,135,0,0,114,0,0,22552.71629,0,22552.71629,22552.71629,353,339,14,353,0,0,339,0,0,23039.8823,0,23039.8823,23039.8823,True
E1,2018-06,128,127,1,128,0,0,127,0,0,44324.93967,0,44324.93967,44324.93967,237,232,5,232,5,0,227,5,0,14877.81545,477.116051,14400.6994,15354.9315,True
E1,2018-07,135,133,2,135,0,0,133,0,0,26231.80439,0,26231.80439,26231.80439,267,264,3,265,2,0,262,2,0,17199.2261,40.7108,17158.5153,17239.9369,True
E1,2018-08,110,110,0,108,2,0,108,2,0,10924.46571,1000.028,9924.437714,11924.49371,180,179,1,177,3,0,176,3,0,9134.7047,79.1115,9055.5932,9213.8162,True
E1,2018-09,147,143,4,144,3,0,140,3,0,23648.72402,3000,20648.72402,26648.72402,310,308,2,310,0,0,308,0,0,24691.7638,0,24691.7638,24691.7638,True
E1,2018-10,146,142,4,146,0,0,142,0,0,34642.39898,0,34642.39898,34642.39898,216,215,1,196,20,0,195,20,0,9375.47881,1781.446023,7594.032787,11156.92483,True
E1,2018-11,73,72,1,68,5,0,67,5,0,27050.35111,5000,22050.35111,32050.35111,312,306,6,307,5,0,301,5,0,24271.57915,452.815285,23818.76387,24724.39443,True
E1,2018-12,115,112,3,113,2,0,110,2,0,38619.59441,1001,37618.59441,39620.59441,240,240,0,239,1,0,239,1,0,14156.6016,3.384,14153.2176,14159.9856,True
E1,2019-01,72,72,0,71,1,0,71,1,0,12109.10856,1000,11109.10856,13109.10856,242,241,1,228,14,0,227,14,0,14111.5835,1181.701243,12929.88226,15293.28474,True
E1,2019-02,64,63,1,64,0,0,63,0,0,11200.92976,0,11200.92976,11200.92976,117,117,0,117,0,0,117,0,0,5799.8338,0,5799.8338,5799.8338,True
E1,2019-03,123,121,2,120,3,0,118,3,0,41451.44817,3000,38451.44817,44451.44817,467,459,8,458,9,0,451,8,0,35718.72267,405.769784,35312.95289,36124.49246,True
E1,2019-04,103,102,1,102,1,0,101,1,0,11539.49325,0.0326,11539.46065,11539.52585,169,157,12,168,1,0,156,1,0,7339.452302,0.8969,7338.555402,7340.349202,True
E1,2019-05,81,81,0,81,0,0,81,0,0,16766.93882,0,16766.93882,16766.93882,240,230,10,231,9,0,221,9,0,13181.00107,737.546348,12443.45472,13918.54742,True
E1,2019-06,102,93,9,102,0,0,93,0,0,25372.46605,0,25372.46605,25372.46605,348,328,20,341,7,0,321,7,0,23030.25346,623.266043,22406.98741,23653.5195,True
E1,2019-07,130,124,6,126,4,0,120,4,0,16542.18382,3005.6762,13536.50762,19547.86002,299,288,11,288,11,0,277,11,0,14471.85972,478.194401,13993.66532,14950.05412,True
E1,2019-08,150,142,8,150,0,0,142,0,0,14542.60002,0,14542.60002,14542.60002,212,201,11,205,7,0,194,7,0,6771.502622,147.7217,6623.780922,6919.224322,True
E1,2019-09,228,172,56,227,1,0,171,1,0,17633.71854,0.1,17633.61855,17633.81854,344,342,2,327,17,0,325,17,0,14537.52729,967.702996,13569.8243,15505.23029,True
E1,2019-10,165,159,6,162,3,0,156,3,0,22188.57062,3000,19188.57062,25188.57062,274,270,4,273,1,0,269,1,0,12730.54855,4.2586,12726.28995,12734.80715,True
E1,2019-11,128,123,5,128,0,0,123,0,0,20233.21692,0,20233.21692,20233.21692,298,268,30,281,17,0,251,17,0,11761.5941,1358.1733,10403.4208,13119.7674,True
E1,2019-12,266,224,42,259,7,0,217,7,0,22252.30633,4225.8613,18026.44503,26478.16763,340,326,14,335,5,0,321,5,0,11601.23723,46.94272,11554.29451,11648.17995,True
E1,2020-01,95,93,2,95,0,0,93,0,0,9423.339601,0,9423.339601,9423.339601,210,189,21,203,7,0,182,7,0,8874.013207,598.857042,8275.156165,9472.870249,True
E1,2020-02,2,2,0,2,0,0,2,0,0,0.0701,0,0.0701,0.0701,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E10,2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E10,2016-11,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,2,21,0,1,20,0,0,1487.69881,0,1487.69881,1487.69881,True
E10,2016-12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,8,0,0,7,0,0,406.744274,0,406.744274,406.744274,True
E10,2017-01,1,1,0,1,0,0,1,0,0,0.12,0,0.12,0.12,111,106,5,110,0,1,106,0,0,9340.937684,0,9340.937684,9340.937684,True
E10,2017-02,1,1,0,1,0,0,1,0,0,0.3948,0,0.3948,0.3948,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E10,2017-03,7,7,0,7,0,0,7,0,0,5.97,0,5.97,5.97,3,3,0,2,1,0,2,1,0,113.189162,60,53.189162,173.189162,True
E10,2017-04,3,3,0,3,0,0,3,0,0,3.5943,0,3.5943,3.5943,2,1,1,2,0,0,1,0,0,6,0,6,6,True
E10,2017-05,1,1,0,1,0,0,1,0,0,0.033,0,0.033,0.033,5,5,0,5,0,0,5,0,0,324.037094,0,324.037094,324.037094,True
E10,2017-06,13,13,0,13,0,0,13,0,0,4.99054,0,4.99054,4.99054,11,11,0,11,0,0,11,0,0,616.368202,0,616.368202,616.368202,True
E10,2017-07,67,65,2,67,0,0,65,0,0,5.210817,0,5.210817,5.210817,9,7,2,9,0,0,7,0,0,248.328174,0,248.328174,248.328174,True
E10,2017-08,72,66,6,72,0,0,66,0,0,6.571032,0,6.571032,6.571032,18,14,4,18,0,0,14,0,0,730.764982,0,730.764982,730.764982,True
E10,2017-09,101,90,11,101,0,0,90,0,0,16.626979,0,16.626979,16.626979,15,15,0,15,0,0,15,0,0,779.200179,0,779.200179,779.200179,True
E10,2017-10,103,88,15,103,0,0,88,0,0,8.471843,0,8.471843,8.471843,9,8,1,9,0,0,8,0,0,394.701915,0,394.701915,394.701915,True
E10,2017-11,93,83,10,93,0,0,83,0,0,21.705745,0,21.705745,21.705745,13,11,2,13,0,0,11,0,0,616.631835,0,616.631835,616.631835,True
E10,2017-12,80,67,13,80,0,0,67,0,0,5.097495,0,5.097495,5.097495,6,6,0,6,0,0,6,0,0,403.861343,0,403.861343,403.861343,True
E10,2018-01,66,63,3,66,0,0,63,0,0,6.18576,0,6.18576,6.18576,43,38,5,43,0,0,38,0,0,2531.483576,0,2531.483576,2531.483576,True
E10,2018-02,76,70,6,76,0,0,70,0,0,12.87839,0,12.87839,12.87839,29,27,2,29,0,0,27,0,0,1688.514332,0,1688.514332,1688.514332,True
E10,2018-03,159,152,7,154,5,0,147,5,0,17.997648,0.3955,17.602148,18.393148,3,3,0,3,0,0,3,0,0,140,0,140,140,True
E10,2018-04,154,146,8,151,3,0,143,3,0,9.835494,5.526871,4.308623,15.362365,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E10,2018-05,169,146,23,169,0,0,146,0,0,15.399298,0,15.399298,15.399298,6,6,0,6,0,0,6,0,0,357.2,0,357.2,357.2,True
E10,2018-06,167,164,3,165,2,0,162,2,0,41.012122,0.22,40.792122,41.232122,4,4,0,4,0,0,4,0,0,192.76192,0,192.76192,192.76192,True
E10,2018-07,134,124,10,133,1,0,123,1,0,27.501004,0.0197,27.481304,27.520704,11,11,0,11,0,0,11,0,0,691.386546,0,691.386546,691.386546,True
E10,2018-08,130,123,7,129,1,0,122,1,0,19.494912,1.056,18.438912,20.550912,24,22,2,23,1,0,21,1,0,984.453557,47.237904,937.215653,1031.691461,True
E10,2018-09,123,118,5,123,0,0,118,0,0,20.54875,0,20.54875,20.54875,10,10,0,10,0,0,10,0,0,640.647006,0,640.647006,640.647006,True
E10,2018-10,152,145,7,147,5,0,140,5,0,20.033431,2.5344,17.499031,22.567831,6,6,0,6,0,0,6,0,0,369.897908,0,369.897908,369.897908,True
E10,2018-11,152,151,1,149,3,0,148,3,0,21.488491,2.4699,19.018591,23.958391,14,13,1,14,0,0,13,0,0,1209,0,1209,1209,True
E10,2018-12,170,162,8,170,0,0,162,0,0,17.969537,0,17.969537,17.969537,13,8,5,13,0,0,8,0,0,374.58521,0,374.58521,374.58521,True
E10,2019-01,148,140,8,144,4,0,136,4,0,43.440269,3.316,40.124269,46.756269,101,89,12,101,0,0,89,0,0,6260.297847,0,6260.297847,6260.297847,True
E10,2019-02,78,75,3,78,0,0,75,0,0,12.1516,0,12.1516,12.1516,3,3,0,3,0,0,3,0,0,141,0,141,141,True
E10,2019-03,124,120,4,123,1,0,119,1,0,16.946298,0.0581,16.888198,17.004398,5,2,3,5,0,0,2,0,0,32.813169,0,32.813169,32.813169,True
E10,2019-04,183,169,14,182,1,0,168,1,0,26.546741,0.15,26.396741,26.696741,2,2,0,2,0,0,2,0,0,194.7807,0,194.7807,194.7807,True
E10,2019-05,199,179,20,198,1,0,178,1,0,19.564424,0.0364,19.528024,19.600824,1,1,0,1,0,0,1,0,0,87.95878,0,87.95878,87.95878,True
E10,2019-06,180,168,12,177,3,0,165,3,0,21.312182,0.345172,20.96701,21.657354,10,10,0,10,0,0,10,0,0,694.601955,0,694.601955,694.601955,True
E10,2019-07,188,185,3,187,1,0,184,1,0,20.325211,0.060208,20.265003,20.385419,10,8,2,10,0,0,8,0,0,410.791424,0,410.791424,410.791424,True
E10,2019-08,217,205,12,216,1,0,204,1,0,31.854206,0.027098,31.827108,31.881304,21,20,1,21,0,0,20,0,0,1410.418639,0,1410.418639,1410.418639,True
E10,2019-09,193,190,3,193,0,0,190,0,0,21.599745,0,21.599745,21.599745,3,3,0,3,0,0,3,0,0,162.4,0,162.4,162.4,True
E10,2019-10,178,173,5,177,1,0,172,1,0,15.466064,0.950072,14.515992,16.416136,8,8,0,8,0,0,8,0,0,572.999978,0,572.999978,572.999978,True
E10,2019-11,215,207,8,214,1,0,206,1,0,21.123522,0.500065,20.623457,21.623587,9,8,1,9,0,0,8,0,0,636.934853,0,636.934853,636.934853,True
E10,2019-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E10,2020-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E10,2020-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E100,2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E100,2016-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E100,2016-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E100,2017-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0.4346,0,0.4346,0.4346,True
E100,2017-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E100,2017-03,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,4,0,0,3.4413,0,3.4413,3.4413,True
E100,2017-04,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,4,0,0,3.4413,0,3.4413,3.4413,True
E100,2017-05,1,1,0,1,0,0,1,0,0,0.033,0,0.033,0.033,5,5,0,1,4,0,1,4,0,0.51,3.4413,-2.9313,3.9513,True
E100,2017-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,1.7177,0,1.7177,1.7177,True
E100,2017-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0.622002,0,0.622002,0.622002,True
E100,2017-08,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,20,6,0,20,6,0,28.859289,4.868759,23.99053,33.728048,True
E100,2017-09,1,1,0,1,0,0,1,0,0,0.013,0,0.013,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E100,2017-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E100,2017-11,1,1,0,1,0,0,1,0,0,0.022,0,0.022,0.022,1,1,0,1,0,0,1,0,0,0.11124,0,0.11124,0.11124,True
E100,2017-12,5,5,0,5,0,0,5,0,0,0.0799,0,0.0799,0.0799,2,2,0,2,0,0,2,0,0,1.480803,0,1.480803,1.480803,True
E100,2018-01,4,4,0,4,0,0,4,0,0,0.0905,0,0.0905,0.0905,1,1,0,1,0,0,1,0,0,1.957,0,1.957,1.957,True
E100,2018-02,4,4,0,4,0,0,4,0,0,0.2106,0,0.2106,0.2106,1,1,0,1,0,0,1,0,0,0.5871,0,0.5871,0.5871,True
E100,2018-03,1,1,0,1,0,0,1,0,0,0.0195,0,0.0195,0.0195,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E100,2018-04,1,1,0,1,0,0,1,0,0,0.017,0,0.017,0.017,2,2,0,2,0,0,2,0,0,1.847685,0,1.847685,1.847685,True
E100,2018-05,2,2,0,2,0,0,2,0,0,0.049002,0,0.049002,0.049002,2,2,0,2,0,0,2,0,0,4.699118,0,4.699118,4.699118,True
E100,2018-06,2,2,0,2,0,0,2,0,0,0.045,0,0.045,0.045,4,4,0,4,0,0,4,0,0,1.365054,0,1.365054,1.365054,True
E100,2018-07,1,1,0,1,0,0,1,0,0,0.024,0,0.024,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E100,2018-08,1,1,0,1,0,0,1,0,0,0.0185,0,0.0185,0.0185,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E100,2018-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E100,2018-10,2,2,0,2,0,0,2,0,0,0.05,0,0.05,0.05,3,3,0,3,0,0,3,0,0,1.599838,0,1.599838,1.599838,True
E100,2018-11,1,1,0,1,0,0,1,0,0,0.0239,0,0.0239,0.0239,2,2,0,2,0,0,2,0,0,0.6505,0,0.6505,0.6505,True
E100,2018-12,2,2,0,2,0,0,2,0,0,0.0726,0,0.0726,0.0726,5,5,0,3,2,0,3,2,0,2.6475,2.4498,0.1977,5.0973,True
E100,2019-01,4,4,0,4,0,0,4,0,0,0.1393,0,0.1393,0.1393,5,5,0,5,0,0,5,0,0,2.9805,0,2.9805,2.9805,True
E100,2019-02,1,1,0,1,0,0,1,0,0,0.02,0,0.02,0.02,3,3,0,3,0,0,3,0,0,0.737851,0,0.737851,0.737851,True
E100,2019-03,1,1,0,1,0,0,1,0,0,0.02,0,0.02,0.02,5,5,0,3,2,0,3,2,0,1.860651,0.497851,1.3628,2.358502,True
E100,2019-04,2,2,0,2,0,0,2,0,0,0.1487,0,0.1487,0.1487,4,4,0,4,0,0,4,0,0,1.3713,0,1.3713,1.3713,True
E100,2019-05,5,5,0,5,0,0,5,0,0,0.1592,0,0.1592,0.1592,1,1,0,1,0,0,1,0,0,1.2272,0,1.2272,1.2272,True
E100,2019-06,2,2,0,2,0,0,2,0,0,0.2739,0,0.2739,0.2739,2,2,0,2,0,0,2,0,0,3.3396,0,3.3396,3.3396,True
E100,2019-07,3,3,0,3,0,0,3,0,0,0.0523,0,0.0523,0.0523,3,3,0,3,0,0,3,0,0,6.825,0,6.825,6.825,True
E100,2019-08,3,3,0,3,0,0,3,0,0,0.5787,0,0.5787,0.5787,1,1,0,1,0,0,1,0,0,1.5855,0,1.5855,1.5855,True
E100,2019-09,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,2,1,0,1.9955,1.5855,0.41,3.581,True
E100,2019-10,2,2,0,2,0,0,2,0,0,0.0437,0,0.0437,0.0437,2,2,0,2,0,0,2,0,0,0.218,0,0.218,0.218,True
E100,2019-11,1,1,0,1,0,0,1,0,0,0.02,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E100,2019-12,3,3,0,3,0,0,3,0,0,0.0645,0,0.0645,0.0645,2,1,1,2,0,0,1,0,0,2,0,2,2,True
E100,2020-01,2,2,0,2,0,0,2,0,0,0.0435,0,0.0435,0.0435,2,2,0,2,0,0,2,0,0,1.879,0,1.879,1.879,True
E100,2020-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2016-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2016-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2017-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2017-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2017-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2017-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2017-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2017-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2017-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2017-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2017-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2017-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2017-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2017-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2018-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2018-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2018-03,1,1,0,1,0,0,1,0,0,0.0188,0,0.0188,0.0188,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E101,2018-04,1,1,0,1,0,0,1,0,0,0.0246,0,0.0246,0.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E101,2018-05,1,1,0,1,0,0,1,0,0,0.0242,0,0.0242,0.0242,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E101,2018-06,1,1,0,1,0,0,1,0,0,0.9088,0,0.9088,0.9088,44,17,27,44,0,0,17,0,0,18.125,0,18.125,18.125,True
E101,2018-07,3,3,0,3,0,0,3,0,0,4.1145,0,4.1145,4.1145,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E101,2018-08,1,1,0,1,0,0,1,0,0,0.028,0,0.028,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E101,2018-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2018-10,2,2,0,2,0,0,2,0,0,0.0503,0,0.0503,0.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E101,2018-11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,6,0,0,5,0,0,11.1128,0,11.1128,11.1128,True
E101,2018-12,1,1,0,1,0,0,1,0,0,0.0232,0,0.0232,0.0232,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E101,2019-01,1,1,0,1,0,0,1,0,0,0.0216,0,0.0216,0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E101,2019-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2019-03,1,1,0,1,0,0,1,0,0,0.028,0,0.028,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E101,2019-04,1,1,0,1,0,0,1,0,0,0.026,0,0.026,0.026,8,6,2,8,0,0,6,0,0,6.0052,0,6.0052,6.0052,True
E101,2019-05,2,2,0,2,0,0,2,0,0,0.0478,0,0.0478,0.0478,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E101,2019-06,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,5,0,0,4,0,0,3.9948,0,3.9948,3.9948,True
E101,2019-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2019-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2019-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2019-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2019-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2019-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2020-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E101,2020-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E102,2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E102,2016-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E102,2016-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E102,2017-01,10,10,0,10,0,0,10,0,0,7.926045,0,7.926045,7.926045,7,6,1,4,3,0,3,3,0,3.4658,3.14486,0.32094,6.61066,True
E102,2017-02,6,6,0,6,0,0,6,0,0,9.284064,0,9.284064,9.284064,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E102,2017-03,12,12,0,12,0,0,12,0,0,7.14923,0,7.14923,7.14923,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E102,2017-04,13,12,1,13,0,0,12,0,0,7.492,0,7.492,7.492,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E102,2017-05,17,17,0,17,0,0,17,0,0,11.111087,0,11.111087,11.111087,11,11,0,11,0,0,11,0,0,5.76448,0,5.76448,5.76448,True
E102,2017-06,14,14,0,14,0,0,14,0,0,12.437113,0,12.437113,12.437113,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E102,2017-07,17,17,0,17,0,0,17,0,0,11.680542,0,11.680542,11.680542,1,0,1,1,0,0,0,0,0,0,0,0,0,True
E102,2017-08,16,16,0,16,0,0,16,0,0,9.115861,0,9.115861,9.115861,3,2,1,3,0,0,2,0,0,1.36003,0,1.36003,1.36003,True
E102,2017-09,16,16,0,16,0,0,16,0,0,7.923865,0,7.923865,7.923865,3,3,0,3,0,0,3,0,0,2.465,0,2.465,2.465,True
E102,2017-10,16,14,2,16,0,0,14,0,0,10.042316,0,10.042316,10.042316,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E102,2017-11,16,16,0,15,1,0,15,1,0,8.375373,0.21635,8.159023,8.591723,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E102,2017-12,27,27,0,26,1,0,26,1,0,13.832397,1.740944,12.091453,15.573341,0,0,0,0,0,0,0,0,0,0,0,0,0,True
