firm,y_true,rating,p_a,p_b,n_oof
E83,0,B,0.39659320099355155,0.1629735804964096,10
E87,1,C,0.38061149781209236,0.21163131474272584,10
E88,0,A,0.25703548171039065,0.0900938495578843,10
E91,0,A,0.3138236185041719,0.19174836025074915,10
E92,0,C,0.44954386257825113,0.31850142406705634,10
E93,0,B,0.4263987038822575,0.2348044214806296,10
E96,0,C,0.6558605244902393,0.5307513665140985,10
E10,0,B,0.15373390523759775,0.059771914530461226,10
E103,1,D,0.400418271674256,0.2684216422278843,10
E11,0,C,0.15860009417813253,0.15527162623793717,10
E115,1,D,0.7340253278142677,0.7031591526644453,10
E118,1,D,0.45085483473227744,0.520986595144225,10
E12,0,B,0.2262749762040554,0.19144862265953444,10
E13,0,A,0.11134265612806718,0.057250093214057975,10
E28,0,B,0.14745436298137962,0.09002887225837365,10
E29,1,C,0.17674636260759918,0.0917645473349394,10
E39,0,C,0.3133475075985542,0.22109322884996624,10
E4,0,C,0.12199380961381326,0.05620805101964603,10
E45,1,B,0.13077922306603557,0.06732209101676656,10
E5,0,B,0.08861378044724091,0.05530816805981128,10
E57,0,B,0.17038859125549383,0.052496865121449965,10
E59,0,A,0.13463072476854127,0.05630261257265255,10
E60,0,B,0.3497765316882281,0.23950265293139358,10
E63,0,B,0.20372102547618157,0.10262493026443371,10
E70,0,B,0.3458059604606127,0.08748110107500559,10
E71,0,B,0.23656435621406935,0.11326322907252007,10
E73,0,C,0.3100044218782627,0.12267697881572212,10
E84,0,A,0.24338612764404166,0.07206224102185546,10
E85,0,B,0.3846092810852485,0.15031047118851712,10
E95,0,B,0.21940399187834658,0.12647920710422839,10
E97,0,B,0.2755126020261479,0.4026504257160252,10
E99,1,D,0.6537608562776326,0.5183183151327148,10
E101,1,D,0.8446254135990534,0.664252320619741,10
E107,1,D,0.4483976930935805,0.47418725854367033,10
E110,0,C,0.6231466848470884,0.7058256675340718,10
E119,1,D,0.7719143959182482,0.6625276663258083,10
E123,1,D,0.8265976753216663,0.6475829191126335,10
E15,0,A,0.0763379554096921,0.09726133104989242,10
E17,0,A,0.1347859346987575,0.054742201932413304,10
E23,0,B,0.1010797416080017,0.05775053143033195,10
E37,0,B,0.15534406347644816,0.092456177546995,10
E41,0,C,0.14028336096743038,0.06943868088014285,10
E46,0,C,0.16837438855208905,0.04885315777366158,10
E51,0,B,0.12477727724198744,0.04865970165772304,10
E52,1,D,0.2279112669192382,0.11194289037367,10
E55,0,C,0.2824592113823551,0.08162999024283554,10
E58,0,B,0.24582895492151083,0.15006703720314643,10
E6,0,A,0.11467816077021627,0.05281548888232329,10
E65,0,B,0.34070721738003074,0.049623355927828,10
E69,0,C,0.06144713332264183,0.13320715683147316,10
E7,0,A,0.06124349066960301,0.054454820210989886,10
E72,0,C,0.6269267374107126,0.07687362418628023,10
E80,0,C,0.49132857689831083,0.17681496244000255,10
E81,0,A,0.2695741145537556,0.08238127119578423,10
E9,0,A,0.12601445315405901,0.05230434551550019,10
E94,0,C,0.293449156996041,0.3444516146802701,10
E100,1,D,0.3246961801394928,0.607501627527115,10
E105,0,C,0.3658709810423846,0.599738207727611,10
E108,1,D,0.7414242897114918,0.6882255510523426,10
E111,1,D,0.30941869044057596,0.3682028171660516,10
E116,1,D,0.5122645495669605,0.5819849037309722,10
E122,1,D,0.5608031083564651,0.5130909127349856,10
E2,0,A,0.07061328201162094,0.051847729201511636,10
E24,0,A,0.1433891479188313,0.04941142625295443,10
E25,0,C,0.17987272344785596,0.05795574511368966,10
E26,0,A,0.2592561549778684,0.07074756755719731,10
E33,0,B,0.19350939337733586,0.05613286664892604,10
E34,0,B,0.19285831873980452,0.059672902761240966,10
E35,0,B,0.15080528528723297,0.05432849516237167,10
E38,0,B,0.18614877389826054,0.15161300642864578,10
E49,0,C,0.25587001013762334,0.05955534148896411,10
E50,0,C,0.3061413851007738,0.1949099107894469,10
E66,0,B,0.3193538876750196,0.19843385892979215,10
E68,0,C,0.482524512092356,0.3376410229076626,10
E74,0,B,0.19269712789131993,0.11861331149645757,10
E77,0,C,0.2974493325747914,0.1583095638878312,10
E78,0,C,0.2609183199150129,0.1722982088637107,10
E86,0,C,0.3516132238828378,0.31322366032198495,10
E89,0,A,0.45181443500779894,0.31082551977329553,10
E90,0,C,0.4488889624748169,0.11158509928554686,10
