enterprise_id,enterprise_name,credit_rating,selection_frequency,selected_scenario_count,total_scenario_count,loan_amount_mean_10k,loan_amount_sd_10k,loan_amount_min_10k,loan_amount_max_10k,interest_rate_mean,risk_score,credit_rating_display,baseline_selected,robust_core_flag,unstable_flag
E65,***商贸有限公司,B,0.8666666667,26,30,86.66666667,33.99346342,0,100,0.1383461538,0.0894097801,B,True,True,True
E34,***建设工程有限公司,B,0.8333333333,25,30,83.33333333,37.26779962,0,100,0.1393,0.1015652078,B,True,True,True
E75,***酒店管理有限公司,C,0.8333333333,25,30,55,32.53203549,0,100,0.13866,0.1070850165,C,True,True,True
E57,***机械设备有限公司,B,0.8,24,30,80,40,0,100,0.1408125,0.1025680758,B,True,True,True
E45,个体经营E45,B,0.2666666667,8,30,25,42.32808366,0,100,0.1434375,0.1068056002,B,False,False,True
E53,***文化传媒有限公司,C,0.2666666667,8,30,23.33333333,40.27681991,0,100,0.1385,0.107156181,C,False,False,True
E27,***农业开发有限公司,A,0.2,6,30,20,40,0,100,0.1425,0.1103832985,A,False,False,True
E38,***建设工程有限公司,B,0.2,6,30,20,40,0,100,0.1425,0.1218095512,B,False,False,True
E42,***园艺场,A,0.2,6,30,18,37.36308338,0,100,0.1425,0.1200846128,A,False,False,True
E62,***工程造价咨询有限公司***分公司,B,0.2,6,30,20,40,0,100,0.1425,0.1214523958,B,False,False,True
E64,***图书有限责任公司,A,0.2,6,30,20,40,0,100,0.1425,0.1124750355,A,False,False,True
E73,***商贸有限责任公司,C,0.2,6,30,20,40,0,100,0.1425,0.1183311273,C,False,False,True
E78,个体经营E78,C,0.2,6,30,20,40,0,100,0.1425,0.1211539626,C,False,False,True
E81,***机械设备有限公司,A,0.2,6,30,20,40,0,100,0.1425,0.1154202468,A,False,False,True
E26,***金属材料有限公司,A,0.1666666667,5,30,16.66666667,37.26779962,0,100,0.1425,0.1342940789,A,False,False,True
E50,***建筑劳务有限公司,C,0.1666666667,5,30,16.66666667,37.26779962,0,100,0.15,0.1692453772,C,False,False,True
E58,***油气工程建设有限责任公司,B,0.1666666667,5,30,16.66666667,37.26779962,0,100,0.1465,0.1498825704,B,False,False,True
E70,***科技有限公司,B,0.1666666667,5,30,16.66666667,37.26779962,0,100,0.1425,0.1379471805,B,False,False,True
E74,***蔬菜专业合作社,B,0.1666666667,5,30,16.66666667,37.26779962,0,100,0.15,0.1539591335,B,False,False,True
E76,***信息科技有限公司,B,0.1666666667,5,30,16.66666667,37.26779962,0,100,0.15,0.1706660196,B,False,False,True
E84,***建材有限公司,A,0.1666666667,5,30,16.66666667,37.26779962,0,100,0.1465,0.1532688251,A,False,False,True
E88,***贸易有限公司,A,0.1666666667,5,30,14.33333333,34.02776644,0,100,0.15,0.1654327803,A,False,False,True
E91,***科技实业有限公司,A,0.1666666667,5,30,16.66666667,37.26779962,0,100,0.1425,0.123879862,A,False,False,True
E95,***兰花店,B,0.1666666667,5,30,16.66666667,37.26779962,0,100,0.1425,0.1441316116,B,False,False,True
E39,***建筑劳务有限公司,C,0.1333333333,4,30,13.33333333,33.99346342,0,100,0.15,0.1815109557,C,False,False,True
E55,***集团有限公司***电力设备分公司,C,0.1333333333,4,30,13.33333333,33.99346342,0,100,0.15,0.1835760094,C,False,False,True
E67,***信息技术有限公司,B,0.1333333333,4,30,13.33333333,33.99346342,0,100,0.15,0.1845447393,B,False,False,True
E105,***建材经营部,C,0.1,3,30,10,30,0,100,0.15,0.2296735143,C,False,False,True
E43,***建设工程有限公司,B,0.1,3,30,10,30,0,100,0.15,0.1927952664,B,False,False,True
E60,***机械租赁有限公司,B,0.1,3,30,10,30,0,100,0.15,0.2143912442,B,False,False,True
E71,***农业科技有限公司,B,0.1,3,30,10,30,0,100,0.15,0.2041897012,B,False,False,True
E79,***鞋业有限公司,B,0.1,3,30,10,30,0,100,0.15,0.2025177165,B,False,False,True
E85,***安防科技有限公司,B,0.1,3,30,10,30,0,100,0.15,0.2264316686,B,False,False,True
E87,***实业有限责任公司,C,0.1,3,30,7.333333333,25.02443251,0,100,0.15,0.234076271,C,False,False,True
E106,***财务管理有限公司,B,0.06666666667,2,30,6.666666667,24.94438258,0,100,0.15,0.25387818,B,False,False,True
E66,***快递有限公司,B,0.06666666667,2,30,3.666666667,17.97838208,0,100,0.15,0.2947622952,B,False,False,False
E69,***电子器材经营部,C,0.06666666667,2,30,6.666666667,24.94438258,0,100,0.15,0.2503652668,C,False,False,True
E72,***图书有限公司,C,0.06666666667,2,30,6.666666667,24.94438258,0,100,0.15,0.2897171126,C,False,False,True
E86,***地质工程勘察院***分院,C,0.06666666667,2,30,6.666666667,24.94438258,0,100,0.15,0.2808208394,C,False,False,True
E89,***物资有限公司,A,0.06666666667,2,30,6.666666667,24.94438258,0,100,0.15,0.3344336244,A,False,False,True
E90,***文化传媒有限责任公司,C,0.06666666667,2,30,6.666666667,24.94438258,0,100,0.15,0.2928954659,C,False,False,True
E93,***电脑设计事务所,B,0.06666666667,2,30,6.666666667,24.94438258,0,100,0.15,0.2376719561,B,False,False,True
E97,***美工装饰部,B,0.06666666667,2,30,6.666666667,24.94438258,0,100,0.15,0.2602897628,B,False,False,True
E98,***文化传播有限公司,B,0.06666666667,2,30,6.666666667,24.94438258,0,100,0.15,0.2814270169,B,False,False,True
E104,***管理咨询有限责任公司,C,0.03333333333,1,30,3.333333333,17.95054936,0,100,0.15,0.5371556855,C,False,False,False
E110,***通讯器材经营部,C,0.03333333333,1,30,3.333333333,17.95054936,0,100,0.15,0.5711527053,C,False,False,False
E68,***花木总公司,C,0.03333333333,1,30,3.333333333,17.95054936,0,100,0.15,0.3380718151,C,False,False,False
E77,***机电设备有限公司,C,0.03333333333,1,30,3.333333333,17.95054936,0,100,0.15,0.3665492679,C,False,False,False
E80,***实业有限责任公司,C,0.03333333333,1,30,3.333333333,17.95054936,0,100,0.15,0.3432370641,C,False,False,False
E83,***社会福利院（***社会福利社会化服务中心）,B,0.03333333333,1,30,3.333333333,17.95054936,0,100,0.15,0.5444532255,B,False,False,False
E92,***地质灾害防治有限公司,C,0.03333333333,1,30,3.333333333,17.95054936,0,100,0.15,0.3701163354,C,False,False,False
E94,***汽车美容有限公司,C,0.03333333333,1,30,3.333333333,17.95054936,0,100,0.15,0.3420261826,C,False,False,False
E96,***土地整理有限公司,C,0.03333333333,1,30,3.333333333,17.95054936,0,100,0.15,0.8080355745,C,False,False,False
E100,***装饰工程有限公司,D,0,0,30,0,0,0,0,,0.2578903118,D,False,False,False
E101,***灯饰工程有限公司,D,0,0,30,0,0,0,0,,0.7098560409,D,False,False,False
E102,***大药房有限责任公司,D,0,0,30,0,0,0,0,,0.4733747116,D,False,False,False
E103,***科技有限公司,D,0,0,30,0,0,0,0,,0.4055458126,D,False,False,False
E107,***科技有限公司,D,0,0,30,0,0,0,0,,0.6278756036,D,False,False,False
E108,***商贸有限公司,D,0,0,30,0,0,0,0,,0.5221807895,D,False,False,False
E109,***服饰有限公司,D,0,0,30,0,0,0,0,,0.5493640614,D,False,False,False
E111,***科技有限公司,D,0,0,30,0,0,0,0,,0.1919246162,D,False,False,False
E112,***机械设备有限公司,D,0,0,30,0,0,0,0,,0.4170540731,D,False,False,False
E113,***美居科技有限公司,D,0,0,30,0,0,0,0,,0.7592451553,D,False,False,False
E114,***食品有限责任公司,D,0,0,30,0,0,0,0,,0.4770804739,D,False,False,False
E115,***装饰工程有限公司,D,0,0,30,0,0,0,0,,0.7835354924,D,False,False,False
E116,***门窗有限公司,D,0,0,30,0,0,0,0,,0.4160885126,D,False,False,False
E117,***人力资源管理咨询有限公司,D,0,0,30,0,0,0,0,,0.6343060557,D,False,False,False
E118,***体育用品有限公司,D,0,0,30,0,0,0,0,,0.3859533716,D,False,False,False
E119,***药房,D,0,0,30,0,0,0,0,,0.6253065711,D,False,False,False
E120,***陈列广告有限公司,D,0,0,30,0,0,0,0,,0.721226934,D,False,False,False
E121,***药业连锁有限公司***药店,D,0,0,30,0,0,0,0,,0.4662178212,D,False,False,False
E122,***商贸有限责任公司,D,0,0,30,0,0,0,0,,0.4500783219,D,False,False,False
E123,***创科技有限责任公司,D,0,0,30,0,0,0,0,,0.7819761114,D,False,False,False
E36,***超硬材料有限公司,D,0,0,30,0,0,0,0,,0.05081789908,D,False,False,False
E52,***商贸有限公司,D,0,0,30,0,0,0,0,,0.2136303318,D,False,False,False
E82,***商贸有限公司,D,0,0,30,0,0,0,0,,0.194614899,D,False,False,False
E99,***建筑工程有限责任公司,D,0,0,30,0,0,0,0,,0.5839846822,D,False,False,False
