scenario_id,solver,solver_status_code,solver_message,is_optimal,objective_value_minimization,objective_value_maximization,solve_time_seconds,mip_gap,variable_count,integer_variable_count,constraint_count,budget,budget_definition,lgd,funding_cost_rate,risk_column,selected_offer_count,budget_used_10k,expected_disbursed_amount_10k,negative_unit_return_selected_count,validation_failures
risk_p90_baseline_budget,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-46.64717789,46.64717789,0.169879,1e-06,5742,2871,5842,4950,nominal_equality,0.5,0.03,logistic_oof_p90,50,4950,979.2433054,0,[]
budget_definition_nominal_equality,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-55.18716253,55.18716253,0.135088,1e-06,5742,2871,5842,4950,nominal_equality,0.5,0.03,selected_model_risk_score,50,4950,1059.522856,0,[]
budget_definition_nominal_cap,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-55.18716253,55.18716253,0.118454,1e-06,5742,2871,5842,4950,nominal_cap,0.5,0.03,selected_model_risk_score,50,4950,1059.522856,0,[]
budget_definition_expected_disbursement_cap,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-63.36743369,63.36743369,0.077956,1e-06,5742,2871,5842,4950,expected_disbursement_cap,0.5,0.03,selected_model_risk_score,73,7300,1361.670275,0,[]
lgd_0.30_funding_cost_0.02_joint,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-86.1921002,86.1921002,0.154621,1e-06,5742,2871,5842,4950,nominal_equality,0.3,0.02,selected_model_risk_score,50,4950,1761.129617,0,[]
lgd_0.30_funding_cost_0.03_joint,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-69.84922953,69.84922953,0.135234,1e-06,5742,2871,5842,4950,nominal_equality,0.3,0.03,selected_model_risk_score,50,4950,1489.64843,0,[]
lgd_0.30_funding_cost_0.04_joint,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-57.1239907,57.1239907,0.131565,1e-06,5742,2871,5842,4950,nominal_equality,0.3,0.04,selected_model_risk_score,50,4950,1093.915887,0,[]
lgd_0.50_funding_cost_0.02_joint,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-67.15004082,67.15004082,0.147013,1e-06,5742,2871,5842,4950,nominal_equality,0.5,0.02,selected_model_risk_score,50,4950,1349.546584,0,[]
lgd_0.50_funding_cost_0.03_joint,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-55.18716253,55.18716253,0.147544,1e-06,5742,2871,5842,4950,nominal_equality,0.5,0.03,selected_model_risk_score,50,4950,1059.522856,0,[]
lgd_0.50_funding_cost_0.04_joint,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-45.280422,45.280422,0.135574,1e-06,5742,2871,5842,4950,nominal_equality,0.5,0.04,selected_model_risk_score,50,4950,927.966008,0,[]
lgd_0.70_funding_cost_0.02_joint,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-53.46625239,53.46625239,0.147847,1e-06,5742,2871,5842,4950,nominal_equality,0.7,0.02,selected_model_risk_score,50,4950,1100.152238,0,[]
lgd_0.70_funding_cost_0.03_joint,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-43.38865086,43.38865086,0.161006,1e-06,5742,2871,5842,4950,nominal_equality,0.7,0.03,selected_model_risk_score,50,4950,938.9715892,0,[]
lgd_0.70_funding_cost_0.04_joint,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-34.60186408,34.60186408,0.128635,1e-06,5742,2871,5842,4950,nominal_equality,0.7,0.04,selected_model_risk_score,50,4950,832.5057208,0,[]
