enterprise_id,enterprise_name,business_scale_10k,sales_scale_10k,purchase_scale_10k,net_sales_10k,operating_net_inflow_proxy_10k,sales_growth_trend,sales_monthly_cv,invoice_activity_per_month,sales_return_rate,purchase_return_rate,void_invoice_rate,zero_amount_invoice_rate,customer_count,supplier_count,customer_hhi,supplier_hhi,max_customer_share,max_supplier_share,purchase_sales_ratio,active_month_ratio,longest_active_streak_ratio,audit_all_invoice_count,audit_valid_invoice_count,audit_void_invoice_count,audit_positive_invoice_count,audit_negative_invoice_count,audit_zero_invoice_count,audit_negative_amount_10k,audit_missing_counterparty_count
E142,***运业有限公司,16390.06956,10724.73297,5665.336587,10675.86324,5075.882061,-0.02481445441,0.7296829791,50.48780488,0.004556731448,0.01153601432,0.0603722197,0,66,96,0.3027100964,0.2418251683,0.4331999159,0.4355017701,0.5282496638,0.9024390244,0.9024390244,2203,2070,133,2049,21,0,114.225132,0
E143,***电子科技有限公司,14116.58275,10454.27279,3662.309968,10294.85269,6663.997453,0.1536820295,1.315399493,114.097561,0.01524927685,0.008588769185,0.03824013158,0,76,598,0.388155577,0.08218703208,0.5945070238,0.2405118883,0.3503170467,0.9268292683,0.9268292683,4864,4678,186,4614,64,0,190.874835,0
E144,***劳务有限公司,12467.31045,11503.56773,963.742715,10944.53173,10010.36986,0.1698635532,1.405194362,89.73170732,0.04859674956,0.03069371165,0.04142782699,0,28,671,0.1335209361,0.07131465774,0.2698397647,0.2075242665,0.08377772337,0.7317073171,0.7317073171,3838,3679,159,3610,69,0,588.616841,0
E145,***工贸有限公司,26617.462,13665.56829,12951.89371,13403.85278,501.675338,-0.06646008739,0.5199714616,164.8780488,0.0191514552,0.003838532968,0.068742251,0,388,377,0.08970575219,0.1542634125,0.2457581049,0.3576408327,0.9477757111,0.9024390244,0.9024390244,7259,6760,499,6662,98,0,311.43179,0
E146,***基础建设工程有限公司,28422.18059,14630.67941,13791.50118,14311.65324,578.836233,0.01566411709,0.7608007324,111.8536585,0.02180528703,0.004255096688,0.05676676265,0,63,383,0.08113436959,0.3937620295,0.2163119505,0.6162536683,0.9426425662,0.9024390244,0.9024390244,4862,4586,276,4546,40,0,377.710335,0
E147,***装饰工程有限责任公司,35930.44769,20123.56663,15806.88107,19981.71033,4341.339125,-0.04511100173,0.8685991768,193.097561,0.007049261974,0.01053401094,0.05321693375,0,143,732,0.06040225329,0.04772116664,0.1110334851,0.1614841748,0.7854910295,0.9024390244,0.9024390244,8362,7917,445,7831,86,0,308.366151,0
E148,***商贸有限公司,11554.18118,8530.291529,3023.889653,8459.659529,5436.549396,0.1476652402,1.873193975,19.04878049,0.00828013905,0.0002577871845,0.05562273277,0,186,134,0.01031371314,0.4688244079,0.05711223331,0.6766801556,0.3544884302,0.8780487805,0.8536585366,827,781,46,778,3,0,71.41152,0
E149,***建筑劳务有限公司,11094.97336,11031.22837,63.744994,10715.79467,10652.04967,0.09046599271,1.331973582,34.92682927,0.02859461272,-0,0.05727452271,0,10,109,0.2400735066,0.2031466821,0.380666007,0.3740058396,0.005778594357,0.8292682927,0.8048780488,1519,1432,87,1400,32,0,315.433703,0
E150,***建设工程有限公司,21214.32408,12327.70628,8886.617795,12327.54293,3497.614323,0.02569322132,0.9506113058,89.70731707,1.325064017e-05,0.006379163514,0.04293520687,0,126,463,0.07565069187,0.03565682156,0.1534128196,0.09717195225,0.7208654711,0.9024390244,0.9024390244,3843,3678,165,3661,17,0,56.852538,0
E151,***路桥工程有限公司,12068.64616,10883.11391,1185.532248,10883.11391,9697.599666,0.01542682004,1.469529493,22.46341463,-0,1.518305388e-05,0.02950474183,0,5,171,0.2726857002,0.2848737541,0.3742435018,0.4428943632,0.1089331838,0.756097561,0.7317073171,949,921,28,920,1,0,0.018,0
E152,***运贸有限责任公司,13414.53017,12728.78682,685.743356,12659.7589,11999.2976,0.02002419211,0.4620183082,58.02439024,0.005422977146,0.03686810784,0.0237997538,0,15,148,0.7040398998,0.1867913399,0.8295890308,0.3673136572,0.05387342611,0.9024390244,0.9024390244,2437,2379,58,2347,32,0,94.30998,0
E153,个体经营E153,25564.63493,25555.32723,9.3077,25466.71023,25457.40253,-0.03232760664,1.40849285,8.56097561,0.003467652721,-0,0.176056338,0,6,33,0.4965470951,0.4297704511,0.5480395768,0.6446275664,0.0003642176019,0.7804878049,0.3658536585,426,351,75,350,1,0,88.617,0
E154,***汽车销售服务有限公司,23342.85926,8616.37084,14726.48842,8577.631648,-5588.152407,0.07055115955,0.9414767884,109.097561,0.004495998689,0.03807454648,0.03160857328,0,303,300,0.3656230941,0.3786276778,0.5823839402,0.5444828829,1.709128901,0.7317073171,0.7317073171,4619,4473,146,4397,76,0,599.44356,0
E155,个体经营E155,17750.48205,9108.580285,8641.901768,9048.342285,481.865517,0.08579917437,1.103676171,35.19512195,0.006613324812,0.008727824271,0.038,0,56,50,0.07542890066,0.164819689,0.1480251925,0.2487783157,0.9487649554,0.6097560976,0.6097560976,1500,1443,57,1427,16,0,135.663,0
E156,个体经营E156,18066.01706,17834.72701,231.290055,15865.2308,15641.45224,-0.002897304811,1.661610831,23.80487805,0.1104304096,0.03247651526,0.07488151659,0,32,151,0.1696621825,0.2035538126,0.3445525125,0.4232953293,0.01296852231,0.8780487805,0.8780487805,1055,976,79,937,39,0,1977.007703,0
E157,***环境设备工程有限公司,13301.42526,7929.254397,5372.170864,7236.114294,1928.766565,0.05535487082,1.704183503,58.29268293,0.08741554606,0.01206646934,0.06347962382,0,65,307,0.2373565445,0.05194488032,0.4562280788,0.1259885467,0.6775127389,0.9024390244,0.9024390244,2552,2390,162,2303,87,0,757.963238,0
E158,***装饰工程有限公司,15066.01141,8486.771188,6579.240219,8486.771188,1990.165762,0.109288655,1.967426788,47.75609756,-0,0.01255992945,0.09351851852,0,9,303,0.1785726521,0.8242211173,0.255613882,0.9075482182,0.7752347828,0.756097561,0.756097561,2160,1958,202,1945,13,0,82.634793,0
E159,个体经营E159,18404.14749,11381.51857,7022.628923,11208.31257,4210.163541,0.03367278207,0.8418750941,114.7560976,0.01521818015,0.003485858682,0.04699210047,0,80,1036,0.04388875602,0.03904138115,0.1258237858,0.1381291836,0.6170203808,0.8536585366,0.8292682927,4937,4705,232,4690,15,0,197.685892,0
E160,***钢结构工程有限公司,26629.77749,16209.86743,10419.91005,15648.3697,5252.360066,0.04776652149,0.8787351768,101.8536585,0.03463925509,0.00229372623,0.09079033312,0,65,424,0.1718603163,0.08153108405,0.3703991642,0.2317543184,0.6428127866,0.9024390244,0.9024390244,4593,4176,417,4102,74,0,585.398154,0
E161,***建筑劳务有限责任公司,16409.50824,16313.18919,96.319056,16013.18919,15916.87013,-0.016732382,1.120771342,11.80487805,0.01839002764,-0,0.09869646182,0,21,140,0.08945662436,0.1541972122,0.1774838179,0.3425075096,0.005904367006,0.9024390244,0.9024390244,537,484,53,481,3,0,300,0
E162,***网络信息安全有限公司,33282.36016,17468.62993,15813.73024,15125.20793,792.920064,0.08554333846,1.60821113,251,0.1341503031,0.09368076652,0.05361412544,0,99,1277,0.06805707881,0.04664603839,0.1558367377,0.135059965,0.9052644826,0.9268292683,0.9268292683,10874,10291,583,10022,269,0,3824.86437,0
E163,***物流有限公司,23063.24044,14707.05008,8356.190369,14353.35152,6016.685664,0.04178066918,1.005496987,85.46341463,0.02404959201,0.002336532695,0.05932885906,0,23,267,0.5737758347,0.1274491208,0.7366342019,0.2417369532,0.568175829,0.9268292683,0.9268292683,3725,3504,221,3485,19,0,373.223066,0
E164,个体经营E164,21032.76108,13265.85338,7766.907701,13073.92322,5497.002422,0.03481491395,0.8914518116,135.4146341,0.01446798494,0.02446107438,0.05175064048,0,85,503,0.04042002868,0.1963095161,0.1071483511,0.4269961799,0.5854811957,0.8780487805,0.8780487805,5855,5552,303,5494,58,0,381.917074,0
E165,***文化传媒股份有限公司,22376.38873,12781.57391,9594.814816,12251.94574,2953.737083,-0.04376661453,0.608407662,158.3658537,0.04143685072,0.03091317193,0.06319434425,0,241,917,0.04220469754,0.07468318897,0.1572576284,0.2410594139,0.7506755337,0.9024390244,0.9024390244,6931,6493,438,6331,162,0,826.23433,0
E166,***建筑工程有限公司,10975.9522,10656.90814,319.044061,8144.408139,7825.364078,0.06791182203,1.665000712,38.17073171,0.2357625652,-0,0.1021227768,0,14,73,0.4433243506,0.2500652444,0.6516430384,0.4701544969,0.02993776965,0.8292682927,0.756097561,1743,1565,178,1307,258,0,2512.5,0
E167,***体育文化股份有限公司,29882.28063,13917.30433,15964.9763,13783.92133,-2046.14963,0.04172649284,0.5157365316,285.6829268,0.009583968475,0.00845008082,0.04593956178,0,2434,1095,0.07877029287,0.1108747517,0.1880736619,0.2655049573,1.147131364,0.9024390244,0.9024390244,12277,11713,564,11525,188,0,268.288346,0
E168,***建材有限公司,9443.110622,9294.999696,148.110926,9294.999696,9146.88877,0.04905245491,1.05011146,20.97560976,-0,-0,0.01826484018,0,12,8,0.4105559052,0.4968425109,0.5900339813,0.5806912449,0.01593447346,0.7317073171,0.7073170732,876,860,16,860,0,0,-0,0
E169,***建筑设计有限公司,20396.09474,12441.43467,7954.660073,12205.65608,4273.092043,0.07351912357,0.9606446852,176.1219512,0.01895107713,0.002777747609,0.04052617592,0,168,1015,0.04520895514,0.03628883375,0.1158401452,0.09556750295,0.6393683917,0.9024390244,0.9024390244,7526,7221,305,7163,58,0,257.874626,0
E170,***建筑劳务有限公司,11423.34824,7941.05804,3482.290198,7786.55954,4397.727528,0.1083256857,1.186800786,49.58536585,0.01945565682,0.02683813832,0.04374412041,0,11,230,0.1781594324,0.09849638153,0.2908968807,0.2536521564,0.4385171573,0.8292682927,0.7804878049,2126,2033,93,1963,70,0,247.956686,0
E171,***质量检验测试站,15949.02902,11274.68951,4674.339511,11067.38271,6393.441402,0.0700335477,0.7788783589,215.5121951,0.01838691875,8.518829218e-05,0.0630898102,0,1439,325,0.01847114391,0.1089958241,0.07398170583,0.2449942477,0.4145869831,0.9268292683,0.9268292683,9431,8836,595,8715,121,0,207.704999,0
E172,***物流有限公司,12832.52424,8177.771266,4654.752977,8177.771266,3527.198289,0.08891577706,1.029792453,39.87804878,-0,0.0008980068375,0.0625,0,94,53,0.1192128257,0.1166952741,0.2176409374,0.1994749761,0.5691957901,0.9024390244,0.9024390244,1744,1635,109,1630,5,0,4.18,0
E173,***贸易有限责任公司,24782.61175,12522.10886,12260.5029,12372.71335,118.728756,-0.03437379619,0.480022944,89.85365854,0.01193053899,0.0005316504596,0.04336535965,0,341,204,0.03704204594,0.2474093215,0.0988855795,0.477036469,0.9791084741,0.9024390244,0.9024390244,3851,3684,167,3647,37,0,155.91381,0
E174,***工程技术有限公司,19314.01661,10562.43002,8751.586589,10523.5707,1836.076654,0.009627388721,0.9192192973,84.56097561,0.003679014195,0.007323534693,0.04961622807,0,83,433,0.04898911974,0.243024972,0.1270182385,0.4048415014,0.8285580655,0.8292682927,0.8292682927,3648,3467,181,3456,11,0,102.951878,0
E175,***食品集团有限公司,17940.20525,8683.933011,9256.27224,8514.064245,-397.844463,0.03717441787,1.609496874,187.8292683,0.01956127089,0.03720326316,0.05821205821,0,1788,597,0.03509896166,0.4378578473,0.1240088131,0.6299500389,1.065907836,0.9268292683,0.9268292683,8177,7701,476,7568,133,0,514.232298,0
E176,***科技有限公司,10343.45672,9858.580599,484.876123,9623.280079,9145.032615,0.06384732167,0.4831964543,124.3414634,0.02386758597,0.0136708299,0.0552260934,0,164,868,0.1108779908,0.04176349917,0.2604900577,0.1572645391,0.04918315757,0.9268292683,0.9268292683,5396,5098,298,5014,84,0,241.929179,0
E177,***电力工程有限公司,18975.45059,10669.67962,8305.770971,10498.98012,2558.009525,0.03070786898,1.835902325,95.02439024,0.01599855901,0.04392131378,0.05482775352,0,153,644,0.07268305291,0.1180595575,0.1224444311,0.3012954377,0.7784461451,0.9024390244,0.9024390244,4122,3896,226,3873,23,0,535.499872,0
E178,***贸易有限公司,18387.63343,9192.045742,9195.58769,9025.056782,-163.417262,0.07175485697,0.7532884444,32.97560976,0.0181666807,0.0007735934059,0.07142857143,0,180,29,0.02377629669,0.2309846309,0.0596853492,0.3719054518,1.000385327,0.9024390244,0.9024390244,1456,1352,104,1325,27,0,174.102606,0
E179,***园林有限公司,10470.78461,6666.657826,3804.126779,6509.375263,2731.548774,-0.0277696997,1.252722368,66.29268293,0.02359241574,0.006913620793,0.07235494881,0,41,350,0.06582669064,0.04126059707,0.1039045429,0.140636743,0.5706197735,0.9024390244,0.9024390244,2930,2718,212,2689,29,0,183.582853,0
E180,***电气有限公司,15796.7725,8574.711692,7222.06081,8546.303992,1360.02262,0.06395858664,0.7641003574,135.804878,0.0033129627,0.004954186754,0.03734439834,0,475,608,0.02217951882,0.7642250532,0.06280575013,0.87385934,0.8422511531,0.9268292683,0.9268292683,5784,5568,216,5531,37,0,64.187138,0
E181,***食品有限公司,18580.33334,8772.447528,9807.885807,8767.2437,-1016.614703,0.01624026761,0.5467199484,108.5121951,0.0005932013823,0.002449804624,0.03680450314,0,179,373,0.5380986518,0.07181444857,0.7245450554,0.1859654501,1.118032998,0.9024390244,0.9024390244,4619,4449,170,4407,42,0,29.231232,0
E182,***新材料科技有限公司,17407.30826,8956.785559,8450.522705,8956.785559,506.262854,-0.04905648567,0.6168768188,49.29268293,-0,-0,0.02649325626,0,42,152,0.08616116439,0.2263053646,0.1365372465,0.3666207631,0.9434771715,0.9024390244,0.9024390244,2076,2021,55,2021,0,0,-0,0
E183,***建设工程有限公司,9886.093708,6992.906812,2893.186896,6972.906812,4227.403696,0.0467990202,1.111495723,56.95121951,0.002860040973,0.05104536461,0.06187223785,0,9,416,0.7313164942,0.03380972681,0.8526778758,0.1087387615,0.4137316532,0.9024390244,0.9024390244,2489,2335,154,2320,15,0,167.68378,0
E184,***建筑装饰工程有限公司,10157.92609,5953.787222,4204.138867,5745.210306,1590.940686,-0.01532748757,1.72452083,63.56097561,0.03503264531,0.01186194095,0.02797463633,0,39,461,0.1640617273,0.03856521134,0.3364648291,0.1047900557,0.7061285045,0.8536585366,0.8292682927,2681,2606,75,2577,29,0,258.446163,0
E185,***生态魔芋有限公司,10297.95119,10194.55678,103.394417,10124.92678,10046.05836,0.05598614949,1.101539556,134.3658537,0.006830115475,0.2372081947,0.006850549847,0,312,20,0.1043324961,0.2090924467,0.2900611635,0.3388748834,0.01014211989,0.8048780488,0.512195122,5547,5509,38,5499,10,0,94.156003,0
E186,***建筑劳务有限公司,8927.480253,8600.732,326.748253,8600.732,8286.544075,0.0723299208,1.369578442,49.12195122,-0,0.03844038303,0.03497843795,0,5,220,0.7600671853,0.05792986755,0.8641976055,0.130448318,0.03799074928,0.8536585366,0.8292682927,2087,2014,73,2003,11,0,12.560328,0
E187,个体经营E187,8291.6891,368.724574,7922.964526,368.724574,-7511.09006,0.0237371211,2.661082724,90.48780488,-0,0.005446180134,0.08530571992,0,12,3655,0.2446028094,0.002001393149,0.3651687099,0.01262153827,21.4874871,0.6097560976,0.6097560976,4056,3710,346,3671,39,0,43.149892,0
E188,***硬质合金有限公司,18260.62493,9224.920261,9035.704665,9184.851714,157.694634,-0.05712597421,0.4696796601,111.1463415,0.004343511474,0.0009459787938,0.03432930706,0,241,369,0.03873845437,0.06872594552,0.1061926779,0.190864472,0.979488647,0.9024390244,0.9024390244,4719,4557,162,4547,10,0,48.616132,0
E189,***石油工程技术服务有限公司,8851.107135,5586.614624,3264.492511,5465.320624,2201.777155,0.04914744519,1.463507689,96.17073171,0.02171153877,0.0002907165499,0.02473410834,0,24,825,0.1397309344,0.06202521631,0.3087905503,0.1297568239,0.5843418118,0.9024390244,0.9024390244,4043,3943,100,3919,24,0,122.243042,0
E190,***劳务有限公司,13116.1072,12938.01479,178.092407,12326.72367,12158.63126,0.002921081089,1.018746575,11.36585366,0.04724767553,0.05615062522,0.1190926276,0,22,53,0.1300717864,0.2781587416,0.2820021483,0.4492050018,0.01376504895,0.8780487805,0.8048780488,529,466,63,451,15,0,621.291125,0
E191,***商贸有限责任公司,60267.42385,29853.48894,30413.93491,29853.29814,-557.067077,-0.1250525824,1.412622882,95.31707317,6.391212778e-06,0.0001173702124,0.04239157069,0,97,141,0.3600011557,0.3469757912,0.4325179004,0.5279873995,1.018773215,0.9024390244,0.9024390244,4081,3908,173,3903,5,0,3.76049,0
E192,***建设工程有限公司,6588.106326,4611.506586,1976.59974,4490.185186,2600.592446,0.03534431397,1.797426635,4.048780488,0.0263084087,0.04401852243,0.1573604061,0,7,28,0.3945314887,0.1235954091,0.5888252996,0.2016594417,0.4286234234,0.6585365854,0.3902439024,197,166,31,161,5,0,208.3284,0
E193,个体经营E193,16261.45911,14293.76564,1967.693471,14179.27867,12224.6992,-0.003517960036,0.6133000701,771.1219512,0.008009573535,0.00666465595,0.0681168391,0,2484,283,0.008294085608,0.1204259859,0.03662768721,0.3152164715,0.137660958,0.8780487805,0.8780487805,33927,31616,2311,31243,373,0,127.600967,0
E194,***文化传播有限公司,10538.75169,9341.732605,1197.019081,8899.831909,7711.612607,0.09918935492,0.8844852969,385.6097561,0.04730393329,0.0073514108,0.04701627486,0,3083,914,0.06165234203,0.1561410334,0.2157768564,0.2711301534,0.1281367313,0.8292682927,0.8292682927,16590,15810,780,15408,402,0,450.700475,0
E195,***医药有限公司,21635.89734,12806.80958,8829.087755,12739.60601,4044.266128,0.01958552438,0.5812021409,168.1219512,0.00524748725,0.01514854917,0.04170721535,0,392,510,0.05382747778,0.1117199261,0.1639675742,0.2067412094,0.6894057179,0.9024390244,0.9024390244,7193,6893,300,6766,127,0,200.95144,0
E196,***地质制图印刷厂,13487.31415,8599.888106,4887.42604,8334.284575,3451.526723,0.04797601946,0.640007698,99.7804878,0.03088453335,0.0009551424332,0.05910763569,0,671,154,0.03690950904,0.185806937,0.1317605599,0.3458391829,0.5683127478,0.9268292683,0.9268292683,4348,4091,257,3996,95,0,270.271719,0
E197,***医疗设备有限公司,26572.72714,16638.51286,9934.214276,16375.93197,6441.94952,0.06970253355,0.8432287126,176.0243902,0.0157815121,2.333631967e-05,0.04663143989,0,1200,805,0.02199585308,0.1304519164,0.1141928979,0.3365504213,0.5970614297,0.8292682927,0.8292682927,7570,7217,353,7169,48,0,262.81272,0
E198,***商贸有限公司,13857.35799,7215.047705,6642.310282,6593.587949,-48.722333,0.03978448288,1.202848372,44.80487805,0.08613383881,-0,0.06083844581,0,42,210,0.1139855236,0.07761037175,0.2898248335,0.1320729208,0.9206190387,0.9024390244,0.9024390244,1956,1837,119,1782,55,0,621.459756,0
E199,***建筑劳务有限公司,7133.761994,7116.780771,16.981223,6216.780771,6199.799548,0.1270043696,2.312912069,20.85365854,0.1264616726,-0,0.01497695853,0,3,25,0.3538284163,0.2895077483,0.4021120425,0.4417422114,0.002386082071,0.5609756098,0.512195122,868,855,13,765,90,0,900,0
E200,个体经营E200,11017.69892,5550.13703,5467.561886,5443.025945,-21.742154,0.05997865343,1.066147822,43.04878049,0.01929881811,0.0005109749205,0.04646137223,0,50,132,0.05477134314,0.176508656,0.1693291526,0.3578498623,0.985121963,0.8780487805,0.8780487805,1851,1765,86,1747,18,0,109.904872,0
E201,***物流有限责任公司,9666.396608,5287.671661,4378.724947,5261.36594,884.358943,0.08775601392,1.434271887,37.73170732,0.004974915745,0.0003923402408,0.08298755187,0,170,105,0.07795787027,0.1464932333,0.2222783061,0.2893507985,0.8281007649,0.9024390244,0.9024390244,1687,1547,140,1530,17,0,28.023671,0
E202,个体经营E202,11827.53107,10681.52228,1146.008787,10681.52228,9544.469293,-0.01653967009,1.248602941,35.6097561,-0,0.007814774286,0.03311258278,0,5,107,0.9071127874,0.09139688782,0.9517275547,0.1610886427,0.1072889011,0.8780487805,0.8780487805,1510,1460,50,1458,2,0,8.9558,0
E203,***建设工程有限公司,7705.952143,5182.056549,2523.895594,5180.986549,2672.367055,-0.01598476469,1.629749652,41.95121951,0.0002064817298,0.006052587927,0.06724511931,0,27,338,0.3690741844,0.08489741768,0.5301850534,0.2143511805,0.4870451664,0.8780487805,0.8048780488,1844,1720,124,1715,5,0,16.3461,0
E204,***科技发展有限公司,17250.69814,10571.13899,6679.559148,10365.06294,3789.254779,-0.066132165,0.7650896226,155.3170732,0.01949421431,0.01553260922,0.0767000145,0,369,1205,0.02419176367,0.02159813744,0.0724061996,0.06815274016,0.6318674981,0.9024390244,0.9024390244,6897,6368,529,6289,79,0,309.827031,0
E205,个体经营E205,11525.36477,8677.00172,2848.36305,8599.50072,5851.48967,0.007842890267,0.578521293,26.92682927,0.008931771884,0.03523146391,0.04745470233,0,71,15,0.08158793308,0.3837796189,0.2063920606,0.5905990636,0.328265816,0.8780487805,0.8780487805,1159,1104,55,1094,10,0,177.853,0
E206,***建设工程有限公司,18058.63597,10299.39644,7759.239533,10295.91084,2564.461406,0.06448504142,1.230904087,109.0243902,0.0003384275982,0.003581549439,0.0370529944,0,307,889,0.08899592393,0.03608078347,0.2817300546,0.09075535006,0.7533683725,0.9024390244,0.9024390244,4642,4470,172,4463,7,0,31.2757,0
E207,个体经营E207,20734.91299,13017.03742,7717.875576,12926.54972,5245.656041,0.004602139292,1.428944799,114.4146341,0.0069514819,0.004791720161,0.03158546656,0,17,267,0.5853865603,0.0782012058,0.7508117917,0.2084613407,0.5929056919,0.8536585366,0.8048780488,4844,4691,153,4668,23,0,127.4696,0
