enterprise_id,enterprise_name,main_risk_score,risk_instability_mean,risk_instability_sd,risk_instability_p05,risk_instability_p10,risk_instability_p50,risk_instability_p90,risk_instability_p95,risk_instability_min,risk_instability_max,risk_instability_test_count,label_spreading_risk_score,label_spreading_final_labeled_nodes,label_spreading_final_unlabeled_target_nodes,label_spreading_test_labels_hidden,rating_prob_A,rating_prob_B,rating_prob_C,rating_prob_D,predicted_rating,ood_feature_count,ood_feature_fraction,missing_primary_feature_count,novelty_score_max_tail_distance,ood_flag,threshold_source,threshold_rule,main_risk_rank,label_spreading_risk_rank,rank_difference_label_spreading_minus_main,main_top20_candidate,label_spreading_top20_candidate,rating_probability_sum,rating_probability_min,rating_row_nonnegative_ok,rating_row_sum_ok,rating_probability_check,risk_instability_interval_width,risk_disagreement_abs,rating_entropy_normalized,uncertainty_reason_ood,uncertainty_reason_interval_width,uncertainty_reason_model_disagreement,uncertainty_reason_rating_entropy,uncertainty_reasons,high_uncertainty_flag,risk_interval_is_external_confidence_interval,risk_interval_definition,risk_interpretation,rating_probability_sum_recomputed,risk_mean,risk_p90,risk_used,risk_used_column,pD,d_probability_reject_flag,uncertainty_reason_ood_optimization,uncertainty_reason_interval_optimization,uncertainty_reason_disagreement_optimization,uncertainty_reason_entropy_optimization,optimization_uncertainty_flag,uncertainty_cap_applied,max_loan_limit_10k,eligible_for_optimization,optimization_threshold_source,d_rule_description,uncertainty_rule_description,scenario_id,risk_variant,lgd,funding_cost_rate,budget_definition,nominal_budget_10k,decision,decision_reason,selected_rate,selected_rate_percent,offered_loan_amount_10k,offered_loan_amount_yuan,selected_acceptance_probability,selected_customer_churn_mass,expected_disbursed_amount_10k,expected_interest_income_10k,expected_credit_loss_10k,expected_funding_cost_10k,expected_net_return_10k,unit_expected_net_return_per_10k,budget_projection_adjustment_10k,selected_rate_is_observed_attachment3_point,no_D_churn_extrapolation_used,risk_is_historical_relative_default_tendency,customer_churn_is_not_default_rate,industry_code,q2_main_risk,robust_risk,unknown_industry_flag,industry_high_uncertainty_flag,q2_baseline_risk,q3_scenario_id,scenario,q2_scenario_id,risk_override_column,risk_override_only
E134,***工程咨询有限公司,0.0368194879,0.04380092292,0.008881285139,0.02947181092,0.03444522618,0.0427941133,0.05590205054,0.05821147205,0.02344692929,0.06208412914,50,0.02628999617,123,302,True,0.4867322585,0.4000696362,0.1035038468,0.009694258535,A,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,284,143,-141,0,0,1,0.009694258535,True,True,PASS,0.02873966114,0.009918473801,0.7189557471,False,False,False,False,none,0,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.0368194879,0.05590205054,0.0368194879,risk_mean,0.009694258535,False,False,False,False,False,False,False,100,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择,0.0985,9.85,100,1000000,0.3079020125,0.682403729,30.79020125,2.921167398,0.5668397212,0.9237060375,1.430621639,0.01430621639,0,True,True,True,True,other_services,0.03620846997,0.0368194879,0,0,0.03620846997,robust,robust,primary,robust_risk,True
E135,***建设工程有限公司,0.04498404036,0.04509795812,0.008630302581,0.03232420412,0.0337331239,0.04538288003,0.05628925684,0.05795029244,0.02838530356,0.06835264554,50,0.003713906253,123,302,True,0.432668112,0.4303506058,0.1249553347,0.01202594757,A,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,279,214,-65,0,0,1,0.01202594757,True,True,PASS,0.02562608832,0.03493010157,0.7490326852,False,False,False,False,none,0,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.04498404036,0.05628925684,0.04498404036,risk_mean,0.01202594757,False,False,False,False,False,False,False,100,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择,0.1025,10.25,100,1000000,0.2845745282,0.7033995243,28.45745282,2.785675465,0.6400656031,0.8537235845,1.291886278,0.01291886278,0,True,True,True,True,construction,0.03864400783,0.04498404036,0,0,0.03864400783,robust,robust,primary,robust_risk,True
E136,***机械有限责任公司,0.07777916526,0.08757624792,0.03371973886,0.04927950085,0.05381701549,0.08318844101,0.123791903,0.1628125936,0.03420884201,0.1964979455,50,0.3371147351,123,302,True,0.2964343182,0.4803856826,0.2016222786,0.02155772059,B,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,237,69,-168,0,0,1,0.02155772059,True,True,PASS,0.1135330927,0.2748914028,0.8066344874,False,False,True,True,label_spreading_disagreement|rating_entropy,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.07777916526,0.123791903,0.07777916526,risk_mean,0.02155772059,False,False,False,True,True,True,True,50,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择；高不确定性额度上限,0.1425,14.25,50,500000,0.1426546884,0.835787591,7.13273442,0.9373587715,0.2773890646,0.2139820326,0.4459876742,0.008919753485,0,True,True,True,True,unknown,0.06222333221,0.07777916526,1,1,0.06222333221,robust,robust,primary,robust_risk,True
E137,***建设工程有限公司,0.07324543534,0.06874010976,0.01386373893,0.04789556826,0.05318961804,0.06636130351,0.08787011043,0.09285921495,0.04320607364,0.1037345934,50,0.0002558793375,123,302,True,0.2627984165,0.4837128821,0.2281087767,0.02537992471,B,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,235,279,44,0,0,1,0.02537992471,True,True,PASS,0.0449636467,0.06266637384,0.8171919835,False,False,False,True,rating_entropy,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.07324543534,0.08787011043,0.07324543534,risk_mean,0.02537992471,False,False,False,False,True,True,True,50,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择；高不确定性额度上限,0.1425,14.25,50,500000,0.1433675363,0.831252539,7.168376817,0.9466739459,0.2625254403,0.2150513045,0.4690972011,0.009381944022,0,True,True,True,True,construction,0.06292225318,0.07324543534,0,0,0.06292225318,robust,robust,primary,robust_risk,True
E138,个体经营E138,0.04060480521,0.04088013413,0.008054122781,0.02731473653,0.03236216722,0.04095874843,0.05242417754,0.0554634644,0.02167608375,0.05816566322,50,8.069757206e-05,123,302,True,0.6855925399,0.2618151359,0.04835322782,0.00423909638,A,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,291,296,5,0,0,1,0.00423909638,True,True,PASS,0.02814872787,0.0324031466,0.5621369149,False,False,False,False,none,0,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.04060480521,0.05242417754,0.04060480521,risk_mean,0.00423909638,False,False,False,False,False,False,False,100,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择,0.1025,10.25,100,1000000,0.2782423759,0.7175185277,27.82423759,2.736180084,0.5648988737,0.8347271277,1.336554082,0.01336554082,0,True,True,True,True,unknown,0.03248384417,0.04060480521,1,1,0.03248384417,robust,robust,primary,robust_risk,True
E139,个体经营E139,0.03201469239,0.03283240224,0.006723473441,0.0219483646,0.02578677291,0.03277426037,0.04064996402,0.0452123121,0.0179049297,0.04557835879,50,0.03915657675,123,302,True,0.7158168363,0.2383298942,0.04218137434,0.003671895207,A,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,299,130,-169,0,0,1,0.003671895207,True,True,PASS,0.02326394749,0.01354482284,0.5303590759,False,False,False,False,none,0,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.03201469239,0.04064996402,0.03201469239,risk_mean,0.003671895207,False,False,False,False,False,False,False,100,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择,0.0985,9.85,100,1000000,0.3010011196,0.6953269852,30.10011196,2.869941914,0.4818229126,0.9030033589,1.485115643,0.01485115643,0,True,True,True,True,unknown,0.02561175391,0.03201469239,1,1,0.02561175391,robust,robust,primary,robust_risk,True
E140,***建筑工程有限公司,0.04161201637,0.04417599289,0.01152587591,0.02645588447,0.03424735717,0.04369714413,0.05760462537,0.05939930781,0.009743667796,0.06832896894,50,0.2541680235,123,302,True,0.6007538006,0.3247901457,0.0683245829,0.00613147079,A,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,287,94,-193,0,0,1,0.00613147079,True,True,PASS,0.03294342334,0.2184207879,0.6390858307,False,False,True,False,label_spreading_disagreement,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.04161201637,0.05760462537,0.04161201637,risk_mean,0.00613147079,False,False,False,True,False,True,True,50,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择；高不确定性额度上限,0.1025,10.25,50,500000,0.2805841491,0.7132843801,14.02920745,1.378155944,0.2918918051,0.4208762236,0.6653879153,0.01330775831,0,True,True,True,True,construction,0.03574723554,0.04161201637,0,0,0.03574723554,robust,robust,primary,robust_risk,True
E141,***食品有限公司,0.03642539503,0.03630031381,0.007734347439,0.02263503052,0.02849043295,0.03476463872,0.04578289438,0.04928520083,0.01915311521,0.0528752177,50,0.2101876626,123,302,True,0.5899080569,0.332473286,0.07120663964,0.006412017521,A,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,296,95,-201,0,0,1,0.006412017521,True,True,PASS,0.0266501703,0.1810473466,0.6477577462,False,False,False,False,none,0,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.03642539503,0.04578289438,0.03642539503,risk_mean,0.006412017521,False,False,False,False,False,False,False,100,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择,0.0985,9.85,100,1000000,0.3049112955,0.688676687,30.49112955,2.893977094,0.5553257193,0.9147338865,1.423917488,0.01423917488,0,True,True,True,True,unknown,0.02914031602,0.03642539503,1,1,0.02914031602,robust,robust,primary,robust_risk,True
E142,***运业有限公司,0.05087512075,0.05356558654,0.009967163119,0.03749982508,0.04064863199,0.05450709522,0.06552620457,0.06788439029,0.03151777226,0.07575497149,50,0.003432708911,123,302,True,0.34772238,0.4672274759,0.1679344817,0.01711566234,B,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,266,216,-50,0,0,1,0.01711566234,True,True,PASS,0.03038456521,0.04153977352,0.7877810803,False,False,False,True,rating_entropy,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,0.9999999999,0.05087512075,0.06552620457,0.05087512075,risk_mean,0.01711566234,False,False,False,False,True,True,True,50,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择；高不确定性额度上限,0.1225,12.25,50,500000,0.1980034074,0.7848809302,9.900170372,1.151071006,0.2518361815,0.2970051111,0.6022297134,0.01204459427,0,True,True,True,True,transport_storage_post,0.04497248243,0.05087512075,0,0,0.04497248243,robust,robust,primary,robust_risk,True
E143,***电子科技有限公司,0.09032145628,0.07599579131,0.01350124789,0.05606186991,0.05924005096,0.07550385241,0.09361706857,0.0966169528,0.0472764689,0.09939756513,50,0.004770702108,123,302,True,0.1904022841,0.4697935981,0.3018310393,0.03797307849,B,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,214,209,-5,0,0,1,0.03797307849,True,True,PASS,0.04055508289,0.06748646291,0.8342243311,False,False,False,True,rating_entropy,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.09032145628,0.09361706857,0.09032145628,risk_mean,0.03797307849,False,False,False,False,True,True,True,50,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择；高不确定性额度上限,0.1425,14.25,50,500000,0.1442767179,0.8177502036,7.213835897,0.935123722,0.3257820818,0.2164150769,0.3929265633,0.007858531267,0,True,True,True,True,unknown,0.07225716502,0.09032145628,1,1,0.07225716502,robust,robust,primary,robust_risk,True
E144,***劳务有限公司,0.07487049501,0.06832061238,0.01341716678,0.04953807085,0.05180004434,0.06698337785,0.08551418897,0.08812521101,0.04411153903,0.1123662648,50,0.001604520809,123,302,True,0.3043179548,0.478938604,0.1959630003,0.02078044095,B,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,242,237,-5,0,0,1,0.02078044095,True,True,PASS,0.03858714016,0.0582918752,0.8039507595,False,False,False,True,rating_entropy,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.07487049501,0.08551418897,0.07487049501,risk_mean,0.02078044095,False,False,False,False,True,True,True,50,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择；高不确定性额度上限,0.1425,14.25,50,500000,0.1424709545,0.8367486046,7.123547727,0.9391040959,0.2666717723,0.2137064318,0.4587258919,0.009174517837,0,True,True,True,True,unknown,0.05989639601,0.07487049501,1,1,0.05989639601,robust,robust,primary,robust_risk,True
