enterprise_id,enterprise_name,industry_code,q2_baseline_risk,robust_risk,q3_scenario_id,q2_decision,robust_decision,q2_selected_rate,robust_selected_rate,delta_selected_rate,q2_offered_loan_amount_10k,robust_offered_loan_amount_10k,delta_offered_loan_amount_10k,q2_expected_net_return_10k,robust_expected_net_return_10k,delta_expected_net_return_10k,decision_changed,rate_changed,amount_changed
E135,***建设工程有限公司,construction,0.03864400783,0.04498404036,robust,贷,贷,0.0985,0.1025,0.004,100,100,0,1.40350536,1.291886278,-0.1116190825,False,True,False
E136,***机械有限责任公司,unknown,0.06222333221,0.07777916526,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.5336518652,0.4459876742,-0.08766419096,False,True,False
E137,***建设工程有限公司,construction,0.06292225318,0.07324543534,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.5297948247,0.4690972011,-0.06069762362,False,True,False
E138,个体经营E138,unknown,0.03248384417,0.04060480521,robust,贷,贷,0.0985,0.1025,0.004,100,100,0,1.481356421,1.336554082,-0.1448023387,False,True,False
E139,个体经营E139,unknown,0.02561175391,0.03201469239,robust,贷,贷,0.0985,0.0985,0,100,100,0,1.600464048,1.485115643,-0.115348405,False,False,False
E140,***建筑工程有限公司,construction,0.03574723554,0.04161201637,robust,贷,贷,0.0985,0.1025,0.004,50,50,0,0.7173743057,0.6653879153,-0.05198639042,False,True,False
E141,***食品有限公司,unknown,0.02914031602,0.03642539503,robust,贷,贷,0.0985,0.0985,0,100,100,0,1.556862465,1.423917488,-0.1329449768,False,False,False
E142,***运业有限公司,transport_storage_post,0.04497248243,0.05087512075,robust,贷,贷,0.1025,0.1225,0.02,50,50,0,0.6491698327,0.6022297134,-0.04694011935,False,True,False
E143,***电子科技有限公司,unknown,0.07225716502,0.09032145628,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.4766525583,0.3929265633,-0.08372599497,False,False,False
E144,***劳务有限公司,unknown,0.05989639601,0.07487049501,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.5478595109,0.4587258919,-0.08913361903,False,True,False
E145,***工贸有限公司,unknown,0.03599533112,0.0449941639,robust,贷,贷,0.0985,0.1025,0.004,100,100,0,1.452283188,1.291517601,-0.1607655867,False,True,False
E146,***基础建设工程有限公司,construction,0.03763527991,0.04380981802,robust,贷,贷,0.0985,0.1025,0.004,100,100,0,1.410063749,1.30206915,-0.1079945989,False,True,False
E147,***装饰工程有限责任公司,construction,0.03881957715,0.04518841403,robust,贷,贷,0.0985,0.1025,0.004,50,50,0,0.7023058004,0.6458324612,-0.0564733392,False,True,False
E148,***商贸有限公司,wholesale_retail,0.07220733777,0.08425693726,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.4688325769,0.4077199447,-0.06111263219,False,True,False
E149,***建筑劳务有限公司,construction,0.05966215737,0.06945048006,robust,贷,贷,0.1225,0.1225,0,50,50,0,0.5466292414,0.486464507,-0.06016473443,False,False,False
E150,***建设工程有限公司,construction,0.04809596502,0.05598670928,robust,贷,贷,0.1025,0.1225,0.02,50,50,0,0.6214957625,0.5697562795,-0.05173948302,False,True,False
E151,***路桥工程有限公司,construction,0.06143754113,0.07151713772,robust,贷,贷,0.1225,0.1225,0,50,50,0,0.5370931024,0.4749788492,-0.06211425318,False,False,False
E152,***运贸有限责任公司,unknown,0.03685676442,0.04607095552,robust,贷,贷,0.0985,0.1065,0.008,50,50,0,0.7235368364,0.6421245544,-0.08141228199,False,True,False
E153,个体经营E153,unknown,0.0656927255,0.08211590687,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.5123137991,0.4305192991,-0.08179450003,False,True,False
E154,***汽车销售服务有限公司,wholesale_retail,0.104624478,0.1220836878,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.300633563,0.2261534151,-0.07448014792,False,False,False
E155,个体经营E155,unknown,0.06077081477,0.07596351846,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.5416029652,0.4511819451,-0.09042102007,False,True,False
E156,个体经营E156,unknown,0.06116067527,0.07645084409,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.5407419116,0.4551465647,-0.08559534688,False,True,False
E157,***环境设备工程有限公司,construction,0.1040462037,0.121116284,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3205605771,0.2435456272,-0.07701494988,False,False,False
E158,***装饰工程有限公司,construction,0.08635403357,0.1005214922,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.4098624917,0.3444297926,-0.06543269912,False,False,False
E159,个体经营E159,unknown,0.04388393826,0.05485492282,robust,贷,贷,0.1025,0.1225,0.02,50,50,0,0.6581630795,0.5772266929,-0.08093638656,False,True,False
E160,***钢结构工程有限公司,construction,0.04763865975,0.05545437737,robust,贷,贷,0.1065,0.1225,0.016,50,50,0,0.632798578,0.5755805816,-0.05721799642,False,True,False
E161,***建筑劳务有限责任公司,construction,0.04601752607,0.05356727644,robust,贷,贷,0.1025,0.1225,0.02,100,100,0,1.265884511,1.155377138,-0.1105073725,False,True,False
E162,***网络信息安全有限公司,information_software_it,0.07254758922,0.07254758922,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.4751938189,0.4751938189,7.668310431e-13,False,False,False
E163,***物流有限公司,transport_storage_post,0.06342247812,0.07174667837,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.5205099425,0.4772042736,-0.04330566895,False,True,False
E164,个体经营E164,unknown,0.04031919601,0.05039899501,robust,贷,贷,0.0985,0.1225,0.024,100,100,0,1.369765495,1.20045337,-0.1693121248,False,True,False
E165,***文化传媒股份有限公司,other_services,0.03651589074,0.0371320964,robust,贷,贷,0.0985,0.0985,0,50,50,0,0.7259732118,0.7202333279,-0.005739883893,False,False,False
E166,***建筑工程有限公司,construction,0.09217207109,0.1072940515,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3532588623,0.2888396838,-0.06441917853,False,False,False
E167,***体育文化股份有限公司,unknown,0.05747336053,0.07184170066,robust,贷,贷,0.1225,0.1225,0,100,100,0,1.063907354,0.8961460268,-0.1677613272,False,False,False
E168,***建材有限公司,unknown,0.04702682686,0.05878353357,robust,贷,贷,0.1025,0.1225,0.02,50,50,0,0.6253414604,0.5469547424,-0.07838671797,False,True,False
E169,***建筑设计有限公司,unknown,0.04621654357,0.05777067946,robust,贷,贷,0.1025,0.1225,0.02,50,50,0,0.6381188614,0.5593179874,-0.07880087401,False,True,False
E170,***建筑劳务有限公司,construction,0.06550885325,0.07625639949,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.5129066624,0.4514235775,-0.06148308491,False,True,False
E171,***质量检验测试站,other_services,0.03962366515,0.0402923145,robust,贷,贷,0.0985,0.0985,0,50,50,0,0.6917837616,0.6856022018,-0.006181559794,False,False,False
E172,***物流有限公司,transport_storage_post,0.05935152676,0.06714141465,robust,贷,贷,0.1225,0.1225,0,50,50,0,0.5476298909,0.4998280175,-0.04780187342,False,False,False
E173,***贸易有限责任公司,wholesale_retail,0.03266440506,0.03811527765,robust,贷,贷,0.0985,0.0985,0,100,100,0,1.485204093,1.386221121,-0.09898297207,False,False,False
E174,***工程技术有限公司,other_services,0.04645413672,0.04723805028,robust,贷,贷,0.1025,0.1025,0,50,50,0,0.6351990541,0.6284589907,-0.006740063448,False,False,False
E175,***食品集团有限公司,unknown,0.1170926019,0.1463657524,robust,贷,贷,0.1425,0.1425,0,100,100,0,0.4803166742,0.2379158257,-0.2424008485,False,False,False
E176,***科技有限公司,unknown,0.03166893663,0.03958617079,robust,贷,贷,0.0985,0.0985,0,100,100,0,1.51603894,1.371048903,-0.1449900373,False,False,False
E177,***电力工程有限公司,construction,0.08746342911,0.1018128979,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.4061965836,0.3396845519,-0.06651203168,False,False,False
E178,***贸易有限公司,wholesale_retail,0.07076990542,0.08257963339,robust,贷,贷,0.1225,0.1225,0,100,100,0,0.9072074931,0.7695403376,-0.1376671555,False,False,False
E179,***园林有限公司,unknown,0.07597864058,0.09497330073,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.4580512099,0.3702722872,-0.08777892272,False,False,False
E180,***电气有限公司,unknown,0.03328246558,0.04160308197,robust,贷,贷,0.0985,0.1025,0.004,100,100,0,1.483445909,1.334143346,-0.149302563,False,True,False
E181,***食品有限公司,unknown,0.08976755602,0.112209445,robust,贷,贷,0.1425,0.1425,0,100,100,0,0.7230742263,0.5329042423,-0.190169984,False,False,False
E182,***新材料科技有限公司,unknown,0.03941105035,0.04926381294,robust,贷,贷,0.0985,0.1025,0.004,100,100,0,1.375055974,1.207302505,-0.1677534692,False,True,False
E183,***建设工程有限公司,construction,0.1000379791,0.11645046,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3318586268,0.259294353,-0.07256427381,False,False,False
E184,***建筑装饰工程有限公司,construction,0.1026369757,0.1194758545,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3330029902,0.2556172085,-0.07738578168,False,False,False
E185,***生态魔芋有限公司,unknown,0.04370184396,0.05462730495,robust,贷,贷,0.1025,0.1225,0.02,50,50,0,0.6438889471,0.5629255833,-0.08096336382,False,True,False
E186,***建筑劳务有限公司,construction,0.09599836002,0.111748091,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3616466654,0.2896376172,-0.0720090482,False,False,False
E187,个体经营E187,unknown,0.6080938535,0.7601173169,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E188,***硬质合金有限公司,unknown,0.03765325996,0.04706657495,robust,贷,贷,0.0985,0.1025,0.004,100,100,0,1.408472952,1.245622074,-0.1628508778,False,True,False
E189,***石油工程技术服务有限公司,other_services,0.08558044961,0.0870246197,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.4148004078,0.4081084554,-0.006691952406,False,False,False
E190,***劳务有限公司,unknown,0.04801111119,0.06001388899,robust,贷,贷,0.1025,0.1225,0.02,100,100,0,1.234431533,1.079459112,-0.1549724212,False,True,False
E191,***商贸有限责任公司,wholesale_retail,0.08893492673,0.1037759426,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.3514275012,0.289409128,-0.06201837324,False,True,False
E192,***建设工程有限公司,construction,0.1622654,0.1888870672,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E193,个体经营E193,unknown,0.02959403557,0.03699254446,robust,贷,贷,0.0985,0.0985,0,50,50,0,0.7754637969,0.7078540935,-0.06760970336,False,False,False
E194,***文化传播有限公司,other_services,0.04221497419,0.04292735188,robust,贷,贷,0.0985,0.1065,0.008,50,50,0,0.6736598632,0.6675646273,-0.006095235897,False,True,False
E195,***医药有限公司,unknown,0.03274305492,0.04092881865,robust,贷,贷,0.0985,0.1025,0.004,100,100,0,1.50688322,1.356823282,-0.1500599376,False,True,False
E196,***地质制图印刷厂,unknown,0.03882241812,0.04852802265,robust,贷,贷,0.0985,0.1025,0.004,50,50,0,0.6990343149,0.614758649,-0.08427566592,False,True,False
E197,***医疗设备有限公司,unknown,0.03592617365,0.04490771706,robust,贷,贷,0.0985,0.1025,0.004,50,50,0,0.7298558585,0.648715727,-0.08114013149,False,True,False
E198,***商贸有限公司,wholesale_retail,0.1107815779,0.1292682537,robust,贷,贷,0.1425,0.1425,0,100,100,0,0.5526031071,0.3937648335,-0.1588382736,False,False,False
E199,***建筑劳务有限公司,construction,0.1077748206,0.1254566271,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3052562628,0.2250826844,-0.08017357835,False,False,False
E200,个体经营E200,unknown,0.09616659389,0.1202082424,robust,贷,贷,0.1425,0.1425,0,100,100,0,0.6540305003,0.4548180913,-0.199212409,False,False,False
E201,***物流有限责任公司,transport_storage_post,0.09619321977,0.1088185799,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3648474549,0.3064685742,-0.05837888067,False,False,False
E202,个体经营E202,unknown,0.09030216428,0.1128777053,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3796791466,0.2785947566,-0.10108439,False,False,False
E203,***建设工程有限公司,construction,0.1189196725,0.1384299313,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.2543891699,0.1660408211,-0.08834834879,False,False,False
E204,***科技发展有限公司,unknown,0.04546017552,0.0568252194,robust,贷,贷,0.1065,0.1225,0.016,50,50,0,0.6506860557,0.5671880513,-0.08349800441,False,True,False
E205,个体经营E205,unknown,0.03184472117,0.03980590146,robust,贷,贷,0.0985,0.1025,0.004,100,100,0,1.489308927,1.346750823,-0.1425581045,False,True,False
E206,***建设工程有限公司,construction,0.06257196707,0.07283768042,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.5319926873,0.4713109062,-0.06068178108,False,True,False
E207,个体经营E207,unknown,0.08437957589,0.1054744699,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.4111244687,0.3155243042,-0.09560016448,False,False,False
E208,个体经营E208,unknown,0.06634981274,0.08293726593,robust,贷,贷,0.1225,0.1225,0,100,100,0,0.9634139707,0.7691083144,-0.1943056563,False,False,False
E209,***工程检测有限公司,other_services,0.05019038873,0.05103735154,robust,贷,贷,0.1065,0.1065,0,50,50,0,0.6143748466,0.6075229772,-0.006851869398,False,False,False
E210,***建筑工程有限公司,construction,0.1435127899,0.167057857,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E211,个体经营E211,unknown,0.04497149201,0.05621436501,robust,贷,贷,0.1025,0.1225,0.02,100,100,0,1.283880533,1.123366373,-0.1605141595,False,True,False
E212,***建电管理咨询有限公司,leasing_business_services,0.054977759,0.05982267401,robust,贷,贷,0.1225,0.1225,0,100,100,0,1.137717874,1.078837875,-0.0588799995,False,False,False
E213,***科技有限公司,unknown,0.05214613302,0.06518266627,robust,贷,贷,0.1065,0.1225,0.016,50,50,0,0.5962237475,0.5154029373,-0.08082081022,False,True,False
E214,***建筑工程有限公司,construction,0.07228598426,0.08414540355,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.4735997917,0.4189694257,-0.05463036598,False,False,False
E215,***建筑工程有限公司,construction,0.1017355454,0.1184265333,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3399067313,0.2625724171,-0.07733431421,False,False,False
E216,***建设工程有限公司,construction,0.07391707793,0.08604409853,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.4655302626,0.4097338204,-0.0557964422,False,False,False
E217,个体经营E217,unknown,0.9142122803,0.999999,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E218,***建设工程有限公司,construction,0.3408718045,0.3967960849,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E219,***品牌营销策划有限公司,leasing_business_services,0.137299131,0.1493986169,robust,不贷,贷,,0.1425,0.1425,0,50,50,0,0.1160985766,0.1160985766,True,True,True
E220,***文化传播有限公司,other_services,0.05955429,0.06055926864,robust,贷,贷,0.1225,0.1225,0,50,50,0,0.5453134995,0.5391586491,-0.006154850428,False,False,False
E221,***测绘服务有限公司,other_services,0.07115552158,0.07235627101,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.4817334816,0.4761684303,-0.005565051297,False,False,False
E222,***数码科技有限公司,unknown,0.08882951254,0.1110368907,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3998830588,0.2969436303,-0.1029394285,False,False,False
E223,***科技有限公司,unknown,0.1842149147,0.2302686434,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E224,***纸业有限公司,unknown,0.06354587666,0.07943234583,robust,贷,贷,0.1225,0.1225,0,100,100,0,0.9923182846,0.8069601223,-0.1853581623,False,False,False
E225,***物业服务有限责任公司***分公司,real_estate,0.04395071825,0.04646414995,robust,贷,贷,0.1025,0.1025,0,50,50,0,0.6560200848,0.6344328226,-0.02158726215,False,False,False
E226,***建设工程有限公司,construction,0.1712671043,0.1993656136,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E227,***安全技术有限公司,unknown,0.06788151278,0.08485189097,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.4988881891,0.4143373965,-0.08455079255,False,True,False
E228,***文化发展有限公司,unknown,0.04793081534,0.05991351917,robust,贷,贷,0.1065,0.1225,0.016,50,50,0,0.6340050081,0.5480952256,-0.08590978249,False,True,False
E229,***家贸易有限公司,wholesale_retail,0.09451816872,0.1102908881,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3576465442,0.2876400777,-0.07000646647,False,False,False
E230,***建筑劳务有限公司,construction,0.06582158636,0.07662044037,robust,贷,贷,0.1225,0.1225,0,100,100,0,1.013925868,0.8816452325,-0.1322806355,False,False,False
E231,***建筑科技有限公司,unknown,0.1729792696,0.216224087,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E232,***投资发展有限责任公司,unknown,0.2006365526,0.2507956907,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E233,***劳务有限公司,unknown,0.3317632959,0.4147041199,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E234,***机电设备商贸有限公司,wholesale_retail,0.05769963741,0.0673282644,robust,贷,贷,0.1225,0.1225,0,50,50,0,0.5576468826,0.4985744454,-0.05907243722,False,False,False
E235,个体经营E235,unknown,0.04719287347,0.05899109184,robust,贷,贷,0.1025,0.1225,0.02,100,100,0,1.250843768,1.094367032,-0.1564767361,False,True,False
E236,个体经营E236,unknown,0.1133525056,0.141690632,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.2858255933,0.1546442527,-0.1311813406,False,False,False
E237,个体经营E237,unknown,0.1939082061,0.2423852576,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E238,个体经营E238,unknown,0.03986630127,0.04983287659,robust,贷,贷,0.0985,0.1065,0.008,50,50,0,0.695991351,0.6132013116,-0.08279003937,False,True,False
E239,个体经营E239,unknown,0.1275079889,0.1593849861,robust,贷,不贷,0.1425,,-0.1425,50,0,-50,0.2205917359,0,-0.2205917359,True,True,True
E240,个体经营E240,unknown,0.6356687049,0.7945858811,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E241,个体经营E241,unknown,0.06738691305,0.08423364131,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.5002610316,0.42116048,-0.07910055159,False,True,False
E242,个体经营E242,unknown,0.7586645487,0.9483306859,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E243,***科技有限公司,unknown,0.06860574324,0.08575717905,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.4924664625,0.4045220581,-0.08794440439,False,True,False
E244,个体经营E244,unknown,0.0927428833,0.1159286041,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3799826376,0.2730038714,-0.1069787662,False,False,False
E245,***建筑劳务有限公司,construction,0.1151160159,0.1340022373,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.2775957833,0.1901895605,-0.08740622284,False,False,False
E246,***物业服务有限公司,real_estate,0.05366797291,0.05673711011,robust,贷,贷,0.1225,0.1225,0,50,50,0,0.5859572475,0.5670122216,-0.01894502586,False,False,False
E247,***石化有限公司,unknown,0.1248915399,0.1561144249,robust,贷,不贷,0.1425,,-0.1425,50,0,-50,0.224200385,0,-0.224200385,True,True,True
E248,***智能科技有限公司,unknown,0.1381627205,0.1727034006,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E249,***建筑工程有限公司,construction,0.2185132356,0.2543630633,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E250,***塑料厂,manufacturing_industry,0.04804275462,0.05263684303,robust,贷,贷,0.1025,0.1225,0.02,100,100,0,1.238639791,1.174551665,-0.06408812631,False,True,False
E251,***医疗器械有限责任公司,unknown,0.2002959646,0.2503699557,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E252,***印务有限公司,manufacturing_industry,0.08761255549,0.09599050611,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.4047764729,0.3660131634,-0.03876330946,False,False,False
E253,***钢结构工程有限公司,construction,0.09195874466,0.1070457262,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3848803962,0.3150369274,-0.06984346876,False,False,False
E254,***设备安装工程有限公司,construction,0.0727954086,0.08473840532,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.4666029093,0.408956042,-0.05764686726,False,True,False
E255,个体经营E255,unknown,0.085103501,0.1063793762,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.414962351,0.3168590412,-0.0981033098,False,False,False
E256,***物资有限公司,unknown,0.04190990739,0.05238738424,robust,贷,贷,0.1025,0.1225,0.02,50,50,0,0.6654401662,0.5824568557,-0.08298331049,False,True,False
E257,***门窗安装有限公司,construction,0.1029904499,0.1198873206,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3329730916,0.2549471465,-0.07802594506,False,False,False
E258,***国际货运有限公司,transport_storage_post,0.05331872098,0.06031680311,robust,贷,贷,0.1225,0.1225,0,50,50,0,0.5864176069,0.5433447095,-0.04307289738,False,False,False
E259,***文化传媒有限公司,other_services,0.06085732094,0.06188428823,robust,贷,贷,0.1225,0.1225,0,50,50,0,0.5423715119,0.5360230222,-0.006348489695,False,False,False
E260,***广告有限公司,leasing_business_services,0.09531751593,0.103717372,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.369787522,0.3308533117,-0.03893421029,False,False,False
E261,***医疗器械有限公司,unknown,0.06533010708,0.08166263385,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.5142478821,0.4274765342,-0.08677134794,False,True,False
E262,个体经营E262,unknown,0.1149894534,0.1437368167,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.2773318653,0.1446942231,-0.1326376422,False,False,False
E263,***通信工程有限公司,unknown,0.1057377901,0.1321722376,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3209601191,0.1986350574,-0.1223250617,False,False,False
E264,个体经营E264,unknown,0.7450622148,0.9313277685,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E265,***净化工程有限公司,construction,0.09913207024,0.1153959255,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3511971163,0.276007179,-0.07518993726,False,False,False
E266,***煤矿机械有限公司,unknown,0.09670787284,0.120884841,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3586883872,0.2480612188,-0.1106271684,False,False,False
E267,***林园艺场,agriculture,0.1493498218,0.1532702546,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E268,***建筑劳务有限公司,construction,0.1112176214,0.1294642624,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.2943784173,0.2102919063,-0.08408651101,False,False,False
E269,***节能服务有限公司,other_services,0.1790853489,0.1821074142,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E270,个体经营E270,unknown,0.09289703563,0.1161212945,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3809662936,0.2733308442,-0.1076354494,False,False,False
E271,***科技有限公司,unknown,0.1124653432,0.140581679,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.2854005501,0.1572803196,-0.1281202305,False,False,False
E272,个体经营E272,unknown,0.1034142538,0.1292678173,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3295433458,0.2106885667,-0.1188547791,False,False,False
E273,个体经营E273,unknown,0.05108800842,0.06386001052,robust,贷,贷,0.1225,0.1225,0,50,50,0,0.6001940829,0.5215768586,-0.07861722429,False,False,False
E274,***建筑劳务有限公司,construction,0.1799588263,0.2094833212,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E275,***网络工程有限公司,information_software_it,0.09458359975,0.09458359975,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.372647838,0.372647838,3.105077306e-11,False,False,False
E276,***体育设施工程有限公司,construction,0.1564236075,0.1820868556,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E277,***消防设备制造有限公司,manufacturing_industry,0.1156124505,0.1266678911,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.2376016426,0.1934426356,-0.04415900704,False,False,False
E278,***贸易有限公司,wholesale_retail,0.1297228562,0.1513703578,robust,不贷,贷,,0.1465,0.1465,0,50,50,0,0.1106635358,0.1106635358,True,True,True
E279,***环保包装有限公司,unknown,0.1428469075,0.1785586344,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E280,个体经营E280,unknown,0.07072952854,0.08841191067,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.4807148091,0.3960173386,-0.08469747045,False,True,False
E281,***商业管理有限责任公司,unknown,0.1359964619,0.1699955774,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E282,***影城有限公司***分公司,other_services,0.08176700158,0.08314681973,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.431996768,0.4256100196,-0.006386748408,False,False,False
E283,***机械铸造有限责任公司,manufacturing_industry,0.06941266714,0.07605025344,robust,贷,贷,0.1225,0.1425,0.02,50,50,0,0.4888757104,0.4525966932,-0.03627901718,False,True,False
E284,***成焊科技有限公司,unknown,0.08499485351,0.1062435669,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.4175238219,0.3190598323,-0.09846398965,False,False,False
E285,个体经营E285,unknown,0.1197623134,0.1497028918,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.2559635702,0.1174670947,-0.1384964755,False,False,False
E286,***印务有限公司,manufacturing_industry,0.1983096873,0.2172730511,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E287,***鞋材有限公司,unknown,0.09186857894,0.1148357237,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3838754868,0.2779441897,-0.1059312971,False,False,False
E288,个体经营E288,unknown,0.1071769949,0.1339712436,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3145470414,0.1904596334,-0.124087408,False,False,False
