enterprise_id,enterprise_name,scenario_count,loan_frequency,loan_count,offered_amount_min_10k,offered_amount_max_10k,offered_amount_mean_10k,offered_amount_sd_10k,selected_rate_observation_count,selected_rate_missing_all,selected_rate_min,selected_rate_max,selected_rate_mean,selected_rate_sd,formal_robust_amount_10k,formal_robust_rate_missing,formal_robust_selected_rate,amount_delta_mean_vs_formal_robust_10k,rate_delta_mean_vs_formal_robust_pp,stability_label,analysis_rule,excluded_scenario,exclusion_reason,spread_interpretation
E147,***装饰工程有限责任公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0985,0.1225,0.10683333333333335,0.009159087776022723,50.0,0,0.1025,0.0,0.43333333333333557,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E148,***商贸有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1225,0.1425,0.1391666666666667,0.007453559924999296,50.0,0,0.1425,0.0,-0.33333333333332993,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E149,***建筑劳务有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1025,0.1425,0.12583333333333335,0.01105541596785133,50.0,0,0.1225,0.0,0.3333333333333355,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E150,***建设工程有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0985,0.1425,0.12016666666666669,0.011130538571375997,50.0,0,0.1225,0.0,-0.23333333333333123,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E151,***路桥工程有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1065,0.1425,0.12783333333333335,0.01123486636423514,50.0,0,0.1225,0.0,0.5333333333333357,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E152,***运贸有限责任公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0985,0.1225,0.10783333333333335,0.009140872800534723,50.0,0,0.1065,0.0,0.1333333333333353,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E153,个体经营E153,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1065,0.1425,0.13783333333333336,0.010934146311237816,50.0,0,0.1425,0.0,-0.46666666666666246,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E154,***汽车销售服务有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1225,0.15,0.14145833333333335,0.006077480060756175,50.0,0,0.1425,0.0,-0.10416666666666352,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E155,个体经营E155,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1065,0.1425,0.13450000000000004,0.011999999999999995,50.0,0,0.1425,0.0,-0.7999999999999952,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E156,个体经营E156,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1065,0.1425,0.13450000000000004,0.011999999999999995,50.0,0,0.1425,0.0,-0.7999999999999952,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E157,***环境设备工程有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1425,0.15,0.143125,0.0020728904939721266,50.0,0,0.1425,0.0,0.06250000000000144,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E158,***装饰工程有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1225,0.1425,0.14083333333333337,0.005527707983925665,50.0,0,0.1425,0.0,-0.1666666666666622,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E159,个体经营E159,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0985,0.1225,0.11583333333333334,0.009706813185707356,50.0,0,0.1225,0.0,-0.6666666666666654,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E160,***钢结构工程有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0985,0.1425,0.12050000000000001,0.013416407864998736,50.0,0,0.1225,0.0,-0.1999999999999988,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E161,***建筑劳务有限责任公司,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0985,0.1225,0.11683333333333334,0.009860132971832691,100.0,0,0.1225,0.0,-0.5666666666666653,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E162,***网络信息安全有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1065,0.1425,0.13683333333333336,0.012697331303160602,50.0,0,0.1425,0.0,-0.5666666666666625,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E163,***物流有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1105,0.1425,0.1371666666666667,0.011925695879998872,50.0,0,0.1425,0.0,-0.5333333333333301,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E164,个体经营E164,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0985,0.1225,0.1135,0.010723805294763607,100.0,0,0.1225,0.0,-0.8999999999999995,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E165,***文化传媒股份有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0945,0.1225,0.10050000000000002,0.007211102550927977,50.0,0,0.0985,0.0,0.20000000000000157,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E166,***建筑工程有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1425,0.1425,0.14250000000000002,2.7755575615628914e-17,50.0,0,0.1425,0.0,2.7755575615628914e-15,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E167,***体育文化股份有限公司,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.1025,0.1425,0.12250000000000001,0.00816496580927726,100.0,0,0.1225,0.0,1.3877787807814457e-15,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E168,***建材有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0985,0.1225,0.11883333333333335,0.008239471396205516,50.0,0,0.1225,0.0,-0.36666666666666514,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E169,***建筑设计有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0985,0.1425,0.12050000000000001,0.013416407864998736,50.0,0,0.1225,0.0,-0.1999999999999988,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E170,***建筑劳务有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1065,0.1425,0.13450000000000004,0.011999999999999995,50.0,0,0.1425,0.0,-0.7999999999999952,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E171,***质量检验测试站,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0945,0.1225,0.10283333333333335,0.009012337223063847,50.0,0,0.0985,0.0,0.4333333333333342,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E172,***物流有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1025,0.1425,0.12250000000000001,0.011547005383792514,50.0,0,0.1225,0.0,1.3877787807814457e-15,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E173,***贸易有限责任公司,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0985,0.1225,0.10350000000000002,0.008660254037844385,100.0,0,0.0985,0.0,0.5000000000000018,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E174,***工程技术有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0985,0.1225,0.10516666666666669,0.007888106377466154,50.0,0,0.1025,0.0,0.2666666666666692,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E175,***食品集团有限公司,12,0.9166666666666666,11,0.0,100.0,87.5,29.755951785595208,11,0,0.1425,0.15,0.14386363636363636,0.0028927095593995152,100.0,0,0.1425,-12.5,0.13636363636363724,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E176,***科技有限公司,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0985,0.1225,0.10283333333333335,0.008863157200205552,100.0,0,0.0985,0.0,0.4333333333333342,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
