model,repeat_id,fold_id,n_train,n_test,n_default_test,pr_auc,brier,log_loss,roc_auc,calibration_error_5bin,balanced_accuracy,f1,threshold_0_5_precision,threshold_0_5_recall,top20_recall,top20_precision,threshold,top_risk_fraction
hist_gradient_boosting,1,4,99,24,5,0.925,0.08433298139,0.2833576967,0.9684210526,0.1285559283,0.8473684211,0.7272727273,0.6666666667,0.8,0.8,0.8,0.5,0.2
hist_gradient_boosting,1,5,99,24,5,1,0.07766329727,0.2832115738,1,0.1823751948,0.9,0.8888888889,1,0.8,1,1,0.5,0.2
hist_gradient_boosting,2,1,98,25,5,0.4495238095,0.1607112379,0.53478374,0.655,0.1651186223,0.575,0.2857142857,0.5,0.2,0.2,0.2,0.5,0.2
hist_gradient_boosting,2,2,98,25,6,1,0.08945054327,0.2957860607,1,0.1622381191,0.5833333333,0.2857142857,1,0.1666666667,0.8333333333,1,0.5,0.2
hist_gradient_boosting,2,3,98,25,6,0.8722222222,0.1253496631,0.3856397605,0.9122807018,0.147160412,0.5833333333,0.2857142857,1,0.1666666667,0.6666666667,0.8,0.5,0.2
hist_gradient_boosting,2,4,99,24,5,1,0.05754018085,0.222475642,1,0.1482499042,0.9473684211,0.8333333333,0.7142857143,1,1,1,0.5,0.2
hist_gradient_boosting,2,5,99,24,5,0.5353535354,0.1674688247,0.4760559894,0.8210526316,0.1020800261,0.5947368421,0.3636363636,0.3333333333,0.4,0.4,0.4,0.5,0.2
hist_gradient_boosting,3,1,98,25,5,0.84,0.089503979,0.3414183884,0.8,0.1581745553,0.875,0.8,0.8,0.8,0.8,0.8,0.5,0.2
hist_gradient_boosting,3,2,98,25,6,0.8238095238,0.1071551817,0.3521587728,0.9035087719,0.090835441,0.7236842105,0.6,0.75,0.5,0.6666666667,0.8,0.5,0.2
hist_gradient_boosting,3,3,98,25,6,0.7021825397,0.1262040985,0.3808893407,0.8947368421,0.1079683491,0.7236842105,0.6,0.75,0.5,0.5,0.6,0.5,0.2
hist_gradient_boosting,3,4,99,24,5,0.9,0.08542497897,0.2892465735,0.9473684211,0.1595979818,0.7,0.5714285714,1,0.4,0.8,0.8,0.5,0.2
hist_gradient_boosting,3,5,99,24,5,0.8111111111,0.1144632184,0.3534119971,0.9157894737,0.06374400435,0.7210526316,0.5454545455,0.5,0.6,0.6,0.6,0.5,0.2
hist_gradient_boosting,4,1,98,25,5,0.9428571429,0.05857959218,0.2251744569,0.98,0.098050575,0.9,0.8888888889,1,0.8,0.8,0.8,0.5,0.2
hist_gradient_boosting,4,2,98,25,6,0.7577380952,0.1197086582,0.3627536762,0.9035087719,0.1253068588,0.6403508772,0.4444444444,0.6666666667,0.3333333333,0.5,0.6,0.5,0.2
hist_gradient_boosting,4,3,98,25,6,0.7528490028,0.1420559852,0.446943198,0.8684210526,0.0991700089,0.7236842105,0.6,0.75,0.5,0.5,0.6,0.5,0.2
hist_gradient_boosting,4,4,99,24,5,0.4565384615,0.1525414491,0.5017491878,0.6947368421,0.1332520595,0.7210526316,0.5454545455,0.5,0.6,0.6,0.6,0.5,0.2
hist_gradient_boosting,4,5,99,24,5,0.925,0.086277267,0.2901583595,0.9684210526,0.1596714534,0.8,0.75,1,0.6,0.8,0.8,0.5,0.2
hist_gradient_boosting,5,1,98,25,5,0.9,0.0735690153,0.2658062175,0.95,0.1026186722,0.8,0.75,1,0.6,0.8,0.8,0.5,0.2
hist_gradient_boosting,5,2,98,25,6,0.5133796296,0.1552398015,0.5207812352,0.6929824561,0.1024911721,0.7236842105,0.6,0.75,0.5,0.5,0.6,0.5,0.2
hist_gradient_boosting,5,3,98,25,6,0.9305555556,0.08264981915,0.2842755029,0.9736842105,0.09412318052,0.8640350877,0.7692307692,0.7142857143,0.8333333333,0.6666666667,0.8,0.5,0.2
hist_gradient_boosting,5,4,99,24,5,0.4472222222,0.1485227363,0.4352514935,0.7894736842,0.0703002018,0.5473684211,0.25,0.3333333333,0.2,0.4,0.4,0.5,0.2
hist_gradient_boosting,5,5,99,24,5,0.9666666667,0.06691295417,0.2419461139,0.9894736842,0.1272647144,0.8,0.75,1,0.6,0.8,0.8,0.5,0.2
hist_gradient_boosting,6,1,98,25,5,0.9,0.09486631158,0.3186895558,0.95,0.1375282027,0.85,0.7272727273,0.6666666667,0.8,0.8,0.8,0.5,0.2
hist_gradient_boosting,6,2,98,25,6,0.8122222222,0.1028316389,0.3569500274,0.850877193,0.1160958632,0.6666666667,0.5,1,0.3333333333,0.6666666667,0.8,0.5,0.2
hist_gradient_boosting,6,3,98,25,6,0.5205026455,0.1723753477,0.5022300714,0.7894736842,0.153321679,0.6447368421,0.4615384615,0.4285714286,0.5,0.3333333333,0.4,0.5,0.2
hist_gradient_boosting,6,4,99,24,5,0.6666666667,0.1120004897,0.3688267323,0.8,0.09975426933,0.5736842105,0.2857142857,0.5,0.2,0.6,0.6,0.5,0.2
hist_gradient_boosting,6,5,99,24,5,0.9111111111,0.08179887832,0.2787561751,0.9578947368,0.1375685122,0.7,0.5714285714,1,0.4,0.8,0.8,0.5,0.2
hist_gradient_boosting,7,1,98,25,5,0.7277777778,0.102797733,0.3152792187,0.92,0.07877612057,0.575,0.2857142857,0.5,0.2,0.6,0.6,0.5,0.2
hist_gradient_boosting,7,2,98,25,6,0.79,0.1198827986,0.4067209578,0.8070175439,0.1173719705,0.6666666667,0.5,1,0.3333333333,0.6666666667,0.8,0.5,0.2
hist_gradient_boosting,7,3,98,25,6,1,0.06148766104,0.240077847,1,0.1596739809,1,1,1,1,0.8333333333,1,0.5,0.2
hist_gradient_boosting,7,4,99,24,5,0.7388888889,0.1279430991,0.4015607481,0.8842105263,0.09536659163,0.7473684211,0.6,0.6,0.6,0.6,0.6,0.5,0.2
hist_gradient_boosting,7,5,99,24,5,0.7198412698,0.1118582879,0.3763468009,0.8210526316,0.09195760069,0.7736842105,0.6666666667,0.75,0.6,0.6,0.6,0.5,0.2
hist_gradient_boosting,8,1,98,25,5,0.5054761905,0.1374746035,0.4632299644,0.66,0.09133607789,0.675,0.5,0.6666666667,0.4,0.4,0.4,0.5,0.2
hist_gradient_boosting,8,2,98,25,6,1,0.05212454939,0.2031680402,1,0.1263789139,0.9166666667,0.9090909091,1,0.8333333333,0.8333333333,1,0.5,0.2
hist_gradient_boosting,8,3,98,25,6,0.8888888889,0.08749379602,0.3050003337,0.9429824561,0.1798926119,0.8903508772,0.8333333333,0.8333333333,0.8333333333,0.6666666667,0.8,0.5,0.2
hist_gradient_boosting,8,4,99,24,5,0.6302564103,0.1343417438,0.4110722587,0.8421052632,0.07045264538,0.7210526316,0.5454545455,0.5,0.6,0.6,0.6,0.5,0.2
hist_gradient_boosting,8,5,99,24,5,0.7961904762,0.1042404224,0.3230704839,0.9368421053,0.1284215712,0.6,0.3333333333,1,0.2,0.6,0.6,0.5,0.2
hist_gradient_boosting,9,1,98,25,5,0.7857142857,0.1002625969,0.3417890817,0.88,0.05000060307,0.8,0.75,1,0.6,0.6,0.6,0.5,0.2
hist_gradient_boosting,9,2,98,25,6,0.7277777778,0.1267079968,0.4019691871,0.8464912281,0.1814206518,0.5833333333,0.2857142857,1,0.1666666667,0.6666666667,0.8,0.5,0.2
hist_gradient_boosting,9,3,98,25,6,0.8722222222,0.08791785184,0.3118760831,0.9122807018,0.09892376242,0.8333333333,0.8,1,0.6666666667,0.6666666667,0.8,0.5,0.2
hist_gradient_boosting,9,4,99,24,5,0.4283333333,0.1576586469,0.4918093225,0.7210526316,0.1244463341,0.6947368421,0.5,0.4285714286,0.6,0.6,0.6,0.5,0.2
hist_gradient_boosting,9,5,99,24,5,0.8261904762,0.08759735979,0.2868418991,0.9473684211,0.1004854039,0.7736842105,0.6666666667,0.75,0.6,0.6,0.6,0.5,0.2
hist_gradient_boosting,10,1,98,25,5,0.540952381,0.1278817528,0.4268944748,0.765,0.1359585221,0.825,0.6666666667,0.5714285714,0.8,0.6,0.6,0.5,0.2
hist_gradient_boosting,10,2,98,25,6,0.9,0.07778635669,0.2914746693,0.9210526316,0.1566344849,0.9166666667,0.9090909091,1,0.8333333333,0.8333333333,1,0.5,0.2
hist_gradient_boosting,10,3,98,25,6,0.9583333333,0.1118245603,0.3446384639,0.9824561404,0.166693451,0.6666666667,0.5,1,0.3333333333,0.8333333333,1,0.5,0.2
hist_gradient_boosting,10,4,99,24,5,0.8588235294,0.08689260756,0.3179507286,0.8736842105,0.1899054317,0.9,0.8888888889,1,0.8,0.8,0.8,0.5,0.2
hist_gradient_boosting,10,5,99,24,5,0.7416666667,0.09771431836,0.305167768,0.9263157895,0.07587568743,0.6736842105,0.5,0.6666666667,0.4,0.6,0.6,0.5,0.2
