enterprise_id,enterprise_name,input_invoice_count,output_invoice_count,has_input,has_output,has_any_invoice,has_both_directions,dataset
E85,***安防科技有限公司,229,293,True,True,True,True,training
E86,***地质工程勘察院***分院,138,22,True,True,True,True,training
E87,***实业有限责任公司,379,74,True,True,True,True,training
E88,***贸易有限公司,214,400,True,True,True,True,training
E89,***物资有限公司,65,172,True,True,True,True,training
E90,***文化传媒有限责任公司,139,261,True,True,True,True,training
E91,***科技实业有限公司,177,129,True,True,True,True,training
E92,***地质灾害防治有限公司,213,39,True,True,True,True,training
E93,***电脑设计事务所,213,148,True,True,True,True,training
E94,***汽车美容有限公司,4,196,True,True,True,True,training
E95,***兰花店,4,913,True,True,True,True,training
E96,***土地整理有限公司,11,20,True,True,True,True,training
E97,***美工装饰部,9,264,True,True,True,True,training
E98,***文化传播有限公司,51,153,True,True,True,True,training
E99,***建筑工程有限责任公司,880,8,True,True,True,True,training
E100,***装饰工程有限公司,58,99,True,True,True,True,training
E101,***灯饰工程有限公司,16,63,True,True,True,True,training
E102,***大药房有限责任公司,730,177,True,True,True,True,training
E103,***科技有限公司,172,64,True,True,True,True,training
E104,***管理咨询有限责任公司,1,21,True,True,True,True,training
E105,***建材经营部,6,122,True,True,True,True,training
E106,***财务管理有限公司,36,153,True,True,True,True,training
E107,***科技有限公司,9,54,True,True,True,True,training
E108,***商贸有限公司,218,33,True,True,True,True,training
E109,***服饰有限公司,10,33,True,True,True,True,training
E110,***通讯器材经营部,3,83,True,True,True,True,training
E111,***科技有限公司,278,250,True,True,True,True,training
E112,***机械设备有限公司,106,22,True,True,True,True,training
E113,***美居科技有限公司,104,47,True,True,True,True,training
E114,***食品有限责任公司,76,75,True,True,True,True,training
E115,***装饰工程有限公司,2,6,True,True,True,True,training
E116,***门窗有限公司,10,47,True,True,True,True,training
E117,***人力资源管理咨询有限公司,4,44,True,True,True,True,training
E118,***体育用品有限公司,29,144,True,True,True,True,training
E119,***药房,315,21,True,True,True,True,training
E120,***陈列广告有限公司,36,29,True,True,True,True,training
E121,***药业连锁有限公司***药店,50,186,True,True,True,True,training
E122,***商贸有限责任公司,48,118,True,True,True,True,training
E123,***创科技有限责任公司,3,65,True,True,True,True,training
E124,个体经营E124,17411,1293,True,True,True,True,target
E125,个体经营E125,20288,1595,True,True,True,True,target
E126,个体经营E126,533,1516,True,True,True,True,target
E127,个体经营E127,1450,4026,True,True,True,True,target
E128,个体经营E128,3222,1255,True,True,True,True,target
E129,个体经营E129,6326,5817,True,True,True,True,target
E130,个体经营E130,3251,1382,True,True,True,True,target
E131,个体经营E131,7077,3336,True,True,True,True,target
E132,个体经营E132,5159,1798,True,True,True,True,target
E133,个体经营E133,1645,170,True,True,True,True,target
E134,***工程咨询有限公司,1695,3070,True,True,True,True,target
E135,***建设工程有限公司,2891,413,True,True,True,True,target
E136,***机械有限责任公司,1288,1355,True,True,True,True,target
E137,***建设工程有限公司,3281,254,True,True,True,True,target
E138,个体经营E138,520,1492,True,True,True,True,target
E139,个体经营E139,472,12822,True,True,True,True,target
E140,***建筑工程有限公司,2074,845,True,True,True,True,target
E141,***食品有限公司,1413,4740,True,True,True,True,target
E142,***运业有限公司,727,1476,True,True,True,True,target
E143,***电子科技有限公司,3714,1150,True,True,True,True,target
E144,***劳务有限公司,2478,1360,True,True,True,True,target
E145,***工贸有限公司,2988,4271,True,True,True,True,target
E146,***基础建设工程有限公司,3250,1612,True,True,True,True,target
E147,***装饰工程有限责任公司,5991,2371,True,True,True,True,target
E148,***商贸有限公司,546,281,True,True,True,True,target
E149,***建筑劳务有限公司,293,1226,True,True,True,True,target
E150,***建设工程有限公司,3379,464,True,True,True,True,target
E151,***路桥工程有限公司,801,148,True,True,True,True,target
E152,***运贸有限责任公司,912,1525,True,True,True,True,target
E153,个体经营E153,71,355,True,True,True,True,target
E154,***汽车销售服务有限公司,2696,1923,True,True,True,True,target
E155,个体经营E155,417,1083,True,True,True,True,target
E156,个体经营E156,611,444,True,True,True,True,target
E157,***环境设备工程有限公司,1553,999,True,True,True,True,target
E158,***装饰工程有限公司,1174,986,True,True,True,True,target
E159,个体经营E159,4684,253,True,True,True,True,target
E160,***钢结构工程有限公司,4384,3377,True,True,True,True,target
E161,***建筑劳务有限责任公司,248,289,True,True,True,True,target
E162,***网络信息安全有限公司,10363,511,True,True,True,True,target
E163,***物流有限公司,2633,1092,True,True,True,True,target
E164,个体经营E164,4194,1661,True,True,True,True,target
E165,***文化传媒股份有限公司,4325,2606,True,True,True,True,target
E166,***建筑工程有限公司,171,1572,True,True,True,True,target
E167,***体育文化股份有限公司,7298,4979,True,True,True,True,target
E168,***建材有限公司,461,415,True,True,True,True,target
E169,***建筑设计有限公司,6036,1490,True,True,True,True,target
E170,***建筑劳务有限公司,1330,796,True,True,True,True,target
E171,***质量检验测试站,1923,7508,True,True,True,True,target
E172,***物流有限公司,471,1273,True,True,True,True,target
E173,***贸易有限责任公司,1350,2501,True,True,True,True,target
E174,***工程技术有限公司,2399,1249,True,True,True,True,target
E175,***食品集团有限公司,4092,4085,True,True,True,True,target
E176,***科技有限公司,3229,2167,True,True,True,True,target
E177,***电力工程有限公司,3152,970,True,True,True,True,target
E178,***贸易有限公司,340,1116,True,True,True,True,target
E179,***园林有限公司,2125,805,True,True,True,True,target
E180,***电气有限公司,3674,2110,True,True,True,True,target
E181,***食品有限公司,3048,1571,True,True,True,True,target
E182,***新材料科技有限公司,998,1078,True,True,True,True,target
E183,***建设工程有限公司,1461,1028,True,True,True,True,target
E184,***建筑装饰工程有限公司,2024,657,True,True,True,True,target
E185,***生态魔芋有限公司,68,5479,True,True,True,True,target
E186,***建筑劳务有限公司,989,1098,True,True,True,True,target
E187,个体经营E187,3880,176,True,True,True,True,target
E188,***硬质合金有限公司,2561,2158,True,True,True,True,target
E189,***石油工程技术服务有限公司,3402,641,True,True,True,True,target
E190,***劳务有限公司,128,401,True,True,True,True,target
E191,***商贸有限责任公司,1210,2871,True,True,True,True,target
E192,***建设工程有限公司,111,86,True,True,True,True,target
E193,个体经营E193,1616,32311,True,True,True,True,target
E194,***文化传播有限公司,4849,11741,True,True,True,True,target
E195,***医药有限公司,2336,4857,True,True,True,True,target
E196,***地质制图印刷厂,1386,2962,True,True,True,True,target
E197,***医疗设备有限公司,6509,4319,True,True,True,True,target
E198,***商贸有限公司,1147,809,True,True,True,True,target
E199,***建筑劳务有限公司,48,820,True,True,True,True,target
E200,个体经营E200,1238,613,True,True,True,True,target
E201,***物流有限责任公司,480,1207,True,True,True,True,target
E202,个体经营E202,404,1106,True,True,True,True,target
E203,***建设工程有限公司,1207,637,True,True,True,True,target
E204,***科技发展有限公司,5217,1680,True,True,True,True,target
E205,个体经营E205,151,1008,True,True,True,True,target
E206,***建设工程有限公司,3679,963,True,True,True,True,target
E207,个体经营E207,3386,1458,True,True,True,True,target
E208,个体经营E208,976,1028,True,True,True,True,target
E209,***工程检测有限公司,8360,1475,True,True,True,True,target
E210,***建筑工程有限公司,550,597,True,True,True,True,target
E211,个体经营E211,418,1636,True,True,True,True,target
E212,***建电管理咨询有限公司,138,1681,True,True,True,True,target
E213,***科技有限公司,2192,1270,True,True,True,True,target
E214,***建筑工程有限公司,739,868,True,True,True,True,target
E215,***建筑工程有限公司,176,833,True,True,True,True,target
E216,***建设工程有限公司,3445,774,True,True,True,True,target
E217,个体经营E217,214,749,True,True,True,True,target
E218,***建设工程有限公司,1104,232,True,True,True,True,target
E219,***品牌营销策划有限公司,4455,623,True,True,True,True,target
E220,***文化传播有限公司,5938,1297,True,True,True,True,target
E221,***测绘服务有限公司,4494,694,True,True,True,True,target
E222,***数码科技有限公司,4628,1376,True,True,True,True,target
E223,***科技有限公司,2624,529,True,True,True,True,target
E224,***纸业有限公司,759,1127,True,True,True,True,target
E225,***物业服务有限责任公司***分公司,4332,8872,True,True,True,True,target
E226,***建设工程有限公司,1047,554,True,True,True,True,target
E227,***安全技术有限公司,2942,742,True,True,True,True,target
E228,***文化发展有限公司,2743,1176,True,True,True,True,target
E229,***家贸易有限公司,1621,862,True,True,True,True,target
E230,***建筑劳务有限公司,84,676,True,True,True,True,target
E231,***建筑科技有限公司,695,408,True,True,True,True,target
E232,***投资发展有限责任公司,828,118,True,True,True,True,target
E233,***劳务有限公司,727,238,True,True,True,True,target
E234,***机电设备商贸有限公司,946,604,True,True,True,True,target
E235,个体经营E235,612,1014,True,True,True,True,target
E236,个体经营E236,204,667,True,True,True,True,target
E237,个体经营E237,1937,295,True,True,True,True,target
E238,个体经营E238,3899,12084,True,True,True,True,target
E239,个体经营E239,379,348,True,True,True,True,target
E240,个体经营E240,1122,124,True,True,True,True,target
E241,个体经营E241,427,794,True,True,True,True,target
E242,个体经营E242,513,263,True,True,True,True,target
E243,***科技有限公司,697,711,True,True,True,True,target
E244,个体经营E244,1151,536,True,True,True,True,target
E245,***建筑劳务有限公司,265,353,True,True,True,True,target
E246,***物业服务有限公司,1368,829,True,True,True,True,target
E247,***石化有限公司,943,359,True,True,True,True,target
E248,***智能科技有限公司,1511,405,True,True,True,True,target
E249,***建筑工程有限公司,719,472,True,True,True,True,target
E250,***塑料厂,439,778,True,True,True,True,target
E251,***医疗器械有限责任公司,1457,315,True,True,True,True,target
E252,***印务有限公司,958,541,True,True,True,True,target
E253,***钢结构工程有限公司,1237,381,True,True,True,True,target
E254,***设备安装工程有限公司,237,493,True,True,True,True,target
E255,个体经营E255,1377,639,True,True,True,True,target
E256,***物资有限公司,280,919,True,True,True,True,target
E257,***门窗安装有限公司,352,361,True,True,True,True,target
E258,***国际货运有限公司,2318,2495,True,True,True,True,target
E259,***文化传媒有限公司,2462,818,True,True,True,True,target
E260,***广告有限公司,1365,1588,True,True,True,True,target
E261,***医疗器械有限公司,1386,1548,True,True,True,True,target
E262,个体经营E262,329,692,True,True,True,True,target
E263,***通信工程有限公司,496,496,True,True,True,True,target
E264,个体经营E264,1610,423,True,True,True,True,target
E265,***净化工程有限公司,2035,475,True,True,True,True,target
E266,***煤矿机械有限公司,295,484,True,True,True,True,target
E267,***林园艺场,192,227,True,True,True,True,target
E268,***建筑劳务有限公司,47,360,True,True,True,True,target
E269,***节能服务有限公司,170,223,True,True,True,True,target
E270,个体经营E270,561,415,True,True,True,True,target
E271,***科技有限公司,1698,557,True,True,True,True,target
E272,个体经营E272,1206,595,True,True,True,True,target
E273,个体经营E273,1546,8046,True,True,True,True,target
E274,***建筑劳务有限公司,12,154,True,True,True,True,target
E275,***网络工程有限公司,379,441,True,True,True,True,target
E276,***体育设施工程有限公司,1040,212,True,True,True,True,target
E277,***消防设备制造有限公司,334,271,True,True,True,True,target
E278,***贸易有限公司,405,238,True,True,True,True,target
E279,***环保包装有限公司,619,526,True,True,True,True,target
E280,个体经营E280,555,588,True,True,True,True,target
E281,***商业管理有限责任公司,1062,581,True,True,True,True,target
E282,***影城有限公司***分公司,795,2711,True,True,True,True,target
E283,***机械铸造有限责任公司,609,299,True,True,True,True,target
E284,***成焊科技有限公司,1058,466,True,True,True,True,target
E285,个体经营E285,772,564,True,True,True,True,target
E286,***印务有限公司,305,258,True,True,True,True,target
E287,***鞋材有限公司,462,309,True,True,True,True,target
E288,个体经营E288,582,308,True,True,True,True,target
E289,***运业有限公司***分公司,3335,1679,True,True,True,True,target
E290,***机电有限公司,871,1125,True,True,True,True,target
E291,***文业建设工程有限公司,393,162,True,True,True,True,target
E292,***物流有限公司,335,1317,True,True,True,True,target
E293,***物资有限公司,59,117,True,True,True,True,target
E294,个体经营E294,867,359,True,True,True,True,target
E295,***电器设备制造有限公司,854,251,True,True,True,True,target
E296,***装饰设计工程有限公司,1544,252,True,True,True,True,target
E297,***建筑机械租赁有限公司,50,183,True,True,True,True,target
E298,***电器维护服务有限公司,909,2813,True,True,True,True,target
E299,***压缩天然气有限责任公司,592,545,True,True,True,True,target
E300,***建设工程有限公司,771,246,True,True,True,True,target
E301,***企业管理咨询有限公司,3029,458,True,True,True,True,target
E302,***机电设备有限公司,955,289,True,True,True,True,target
E303,***图书发行有限公司,693,360,True,True,True,True,target
E304,***环保科技有限公司,607,1029,True,True,True,True,target
E305,***劳务有限公司,590,359,True,True,True,True,target
E306,个体经营E306,1251,382,True,True,True,True,target
E307,***通信工程有限公司,461,115,True,True,True,True,target
E308,***餐饮文化服务有限公司,514,2015,True,True,True,True,target
E309,个体经营E309,986,211,True,True,True,True,target
E310,***律师事务所,1862,997,True,True,True,True,target
E311,***律师事务所,2544,467,True,True,True,True,target
E312,***家居用品有限公司,4652,683,True,True,True,True,target
E313,***物流有限公司,331,297,True,True,True,True,target
E314,***房地产营销策划有限公司,1249,127,True,True,True,True,target
E315,***轮胎有限公司,388,1580,True,True,True,True,target
E316,个体经营E316,767,456,True,True,True,True,target
E317,***科技有限公司,354,209,True,True,True,True,target
E318,***商贸有限公司,300,409,True,True,True,True,target
E319,个体经营E319,182,742,True,True,True,True,target
E320,***建筑设计有限公司,244,98,True,True,True,True,target
E321,***生物流有限公司,63,427,True,True,True,True,target
E322,***装饰工程设计有限公司,904,880,True,True,True,True,target
E323,***建筑装饰工程有限公司,501,165,True,True,True,True,target
E324,***汽贸有限公司,1621,416,True,True,True,True,target
E325,***通讯器材有限公司,530,4180,True,True,True,True,target
E326,***包装材料有限公司,286,198,True,True,True,True,target
E327,个体经营E327,480,271,True,True,True,True,target
E328,***科技有限公司,465,164,True,True,True,True,target
E329,***园艺有限责任公司,5,129,True,True,True,True,target
E330,***酒店管理有限公司,1374,7833,True,True,True,True,target
E331,***广告有限公司,144,95,True,True,True,True,target
E332,***商贸有限公司,837,388,True,True,True,True,target
E333,***房地产营销策划有限公司,849,137,True,True,True,True,target
E334,***机械科技有限公司,150,197,True,True,True,True,target
E335,***挖掘机租赁经营部,439,340,True,True,True,True,target
E336,***猕猴桃专业合作社,7,53,True,True,True,True,target
E337,个体经营E337,69,754,True,True,True,True,target
E338,***商贸有限公司,252,89,True,True,True,True,target
E339,***居益卫浴家俬厂,126,176,True,True,True,True,target
E340,***物流有限公司,11,164,True,True,True,True,target
E341,***纺织品有限公司,53,75,True,True,True,True,target
E342,***裕华机械厂,263,159,True,True,True,True,target
E343,***五金工具经营部,3,433,True,True,True,True,target
E344,***机械有限公司,121,93,True,True,True,True,target
E345,***科技有限公司,253,87,True,True,True,True,target
E346,个体经营E346,496,645,True,True,True,True,target
E347,***不锈钢材料有限公司,87,210,True,True,True,True,target
E348,***酒店管理有限公司,200,4269,True,True,True,True,target
E349,***营销策划广告有限公司,9,39,True,True,True,True,target
E350,***演艺设备有限公司,629,60,True,True,True,True,target
E351,***文化传播有限公司,101,60,True,True,True,True,target
E352,***居装饰工程有限公司,743,52,True,True,True,True,target
E353,***税务师事务所有限公司,234,80,True,True,True,True,target
E354,***广告有限公司,67,323,True,True,True,True,target
E355,***地毯经营部,4,279,True,True,True,True,target
E356,***建材装饰部,3,191,True,True,True,True,target
E357,***家居经营部,10,154,True,True,True,True,target
E358,***五金经营部,2,301,True,True,True,True,target
E359,***厨房用品经营部,2,243,True,True,True,True,target
E360,***建筑劳务有限公司,3,35,True,True,True,True,target
E361,***勘察设计工程有限公司,174,118,True,True,True,True,target
E362,***建材有限公司,126,105,True,True,True,True,target
E363,***建筑工程设计有限公司,99,39,True,True,True,True,target
E364,***电子有限公司,140,335,True,True,True,True,target
E365,***信息技术有限公司,130,88,True,True,True,True,target
E366,***房地产经纪有限公司,21,20,True,True,True,True,target
E367,***电子商务有限公司,25,215,True,True,True,True,target
E368,***通信科技有限责任公司,87,32,True,True,True,True,target
E369,***网络技术有限公司,161,214,True,True,True,True,target
E370,***设计服务部,4,498,True,True,True,True,target
E371,***自动化科技有限公司,81,32,True,True,True,True,target
E372,***汽车维修有限责任公司,324,586,True,True,True,True,target
E373,个体经营E373,881,112,True,True,True,True,target
E374,***建材经营部,3,249,True,True,True,True,target
E375,***电器经营部,2,377,True,True,True,True,target
E376,***建筑装饰设计有限责任公司,3,53,True,True,True,True,target
E377,***文化传播有限公司,110,87,True,True,True,True,target
E378,***商贸有限公司,692,362,True,True,True,True,target
E379,***药业有限公司,385,239,True,True,True,True,target
E380,***建材有限公司,2,188,True,True,True,True,target
E381,***通信网络工程有限公司,1823,82,True,True,True,True,target
E382,***教育信息咨询有限公司***分公司,2,88,True,True,True,True,target
E383,***通讯器材经营部,13,126,True,True,True,True,target
E384,个体经营E384,247,32,True,True,True,True,target
E385,***装饰工程有限公司,31,28,True,True,True,True,target
E386,个体经营E386,401,66,True,True,True,True,target
E387,***农副产品经营部,3,94,True,True,True,True,target
E388,***商贸有限公司,292,354,True,True,True,True,target
E389,***清洁服务有限公司,2,64,True,True,True,True,target
E390,***建筑工程有限公司,16,14,True,True,True,True,target
E391,***五金店,3,350,True,True,True,True,target
E392,***科技有限公司,179,260,True,True,True,True,target
E393,***商贸有限责任公司,24,607,True,True,True,True,target
E394,***环保设计研究院（有限合伙）,551,79,True,True,True,True,target
E395,***网络科技有限公司,137,139,True,True,True,True,target
E396,***文化传播有限公司,211,70,True,True,True,True,target
E397,***大闸蟹经营部,19,183,True,True,True,True,target
E398,***医疗管理咨询有限公司,74,89,True,True,True,True,target
E399,***装饰工程有限公司,52,19,True,True,True,True,target
E400,***办公用品经营部,16,134,True,True,True,True,target
E401,***遮阳技术发展中心,28,77,True,True,True,True,target
E402,***商贸有限公司,57,25,True,True,True,True,target
E403,***机械有限公司,110,70,True,True,True,True,target
E404,个体经营E404,29,21,True,True,True,True,target
E405,***职业技能服务有限公司,18,45,True,True,True,True,target
E406,***招投标代理有限公司,52,31,True,True,True,True,target
E407,***装饰工程有限公司,149,44,True,True,True,True,target
E408,***空调制冷有限责任公司,40,32,True,True,True,True,target
E409,***塑胶有限公司,15,101,True,True,True,True,target
E410,***网络科技有限公司,105,66,True,True,True,True,target
E411,***机电设备有限公司,109,97,True,True,True,True,target
E412,***汽车贸易有限公司,86,149,True,True,True,True,target
E413,***石材工艺品有限公司,62,40,True,True,True,True,target
E414,***物流有限责任公司***分公司,6,14,True,True,True,True,target
E415,***广告设计服务部,2,208,True,True,True,True,target
E416,***科技有限公司,8,25,True,True,True,True,target
E417,***园林景观工程有限公司,128,6,True,True,True,True,target
E418,***营销策划有限公司,71,23,True,True,True,True,target
E419,***科技有限公司,1304,4,True,True,True,True,target
E420,***康药房,153,126,True,True,True,True,target
E421,***保温材料有限公司,19,29,True,True,True,True,target
E422,***童装店,3,30,True,True,True,True,target
E423,***通风设备有限公司,21,7,True,True,True,True,target
E424,***贸易有限公司,25,43,True,True,True,True,target
E425,***商贸有限公司,118,18,True,True,True,True,target
