scenario_id,scenario_kind,sensitivity_axis,sensitivity_level,risk_variant,lgd,funding_cost_rate,budget_definition,d_probability_threshold,uncertainty_cap_10k,ood_novelty_threshold,interval_width_threshold,risk_disagreement_threshold,rating_entropy_threshold,solver,scipy_version,solver_status_code,solver_status,solver_message,is_optimal,solver_called,objective_value_minimization,objective_value_maximization,solve_time_seconds,mip_rel_gap,feasibility_tolerance,variable_count,integer_variable_count,constraint_count,enterprise_count_total,eligible_enterprise_count,d_reject_count,uncertainty_cap_count,rate_point_count,budget_10k,capacity_max_10k,fallback_used,precheck_pass,budget_projection_adjustment_10k,selected_enterprise_count,selected_nominal_amount_10k
sensitivity_d_probability_threshold_0p8,sensitivity,d_probability_threshold,0.8,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3380111,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_d_probability_threshold_0p9,sensitivity,d_probability_threshold,0.9,mean,0.5,0.03,nominal_equality,0.9,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3454593,1e-06,1e-06,17168,8584,17465,302,296,6,251,29,10000,17050,False,True,0,164,10000
sensitivity_uncertainty_cap_10k_30p0,sensitivity,uncertainty_cap_10k,30.0,mean,0.5,0.03,nominal_equality,0.8,30,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-81.5102131,81.5102131,0.5156301,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,11780,False,True,0,238,10000
sensitivity_uncertainty_cap_10k_50p0,sensitivity,uncertainty_cap_10k,50.0,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3656186,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_uncertainty_cap_10k_70p0,sensitivity,uncertainty_cap_10k,70.0,mean,0.5,0.03,nominal_equality,0.8,70,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-112.7085077,112.7085077,0.5399047,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,21620,False,True,0,130,10000
sensitivity_ood_novelty_threshold_0p5,sensitivity,ood_novelty_threshold,0.5,mean,0.5,0.03,nominal_equality,0.8,50,0.5,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3398792,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_ood_novelty_threshold_1p0,sensitivity,ood_novelty_threshold,1.0,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3353204,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_ood_novelty_threshold_1p5,sensitivity,ood_novelty_threshold,1.5,mean,0.5,0.03,nominal_equality,0.8,50,1.5,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3369454,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_interval_width_threshold_0p15,sensitivity,interval_width_threshold,0.15,mean,0.5,0.03,nominal_equality,0.8,50,1,0.15,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.802186,103.802186,0.3445167,1e-06,1e-06,16820,8410,17111,302,290,12,249,29,10000,16550,False,True,0,165,10000
sensitivity_interval_width_threshold_0p2,sensitivity,interval_width_threshold,0.2,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3413668,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_interval_width_threshold_0p25,sensitivity,interval_width_threshold,0.25,mean,0.5,0.03,nominal_equality,0.8,50,1,0.25,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3403809,1e-06,1e-06,16820,8410,17111,302,290,12,243,29,10000,16850,False,True,0,164,10000
sensitivity_budget_definition_nominal_equality,sensitivity,budget_definition,nominal_equality,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3286204,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_budget_definition_nominal_cap,sensitivity,budget_definition,nominal_cap,mean,0.5,0.03,nominal_cap,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.2153,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_budget_definition_expected_disbursement_cap,sensitivity,budget_definition,expected_disbursement_cap,mean,0.5,0.03,expected_disbursement_cap,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-108.509178,108.509178,0.2432289,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,208,12400
