enterprise_id,enterprise_name,risk_oof_mean,risk_oof_sd,risk_oof_p05,risk_oof_p10,risk_oof_p50,risk_oof_p90,risk_oof_p95,risk_oof_min,risk_oof_max,risk_oof_test_count,default_label
E19,***科技有限公司,0.06543754966,0.02668491786,0.02761414215,0.03065760038,0.06562335285,0.09093656268,0.09760372899,0.02457068392,0.1042708953,10,0
E2,***技术有限责任公司,0.02833749753,0.006576471863,0.02125918962,0.02239040344,0.0261436873,0.03642833627,0.03863710619,0.02012797579,0.04084587612,10,0
E20,***贸易有限公司,0.04546270238,0.0133597347,0.0286020064,0.03126598193,0.04367250257,0.06402096704,0.06499736534,0.02593803087,0.06597376364,10,0
E21,***建设工程有限公司,0.08415779812,0.01215910231,0.06591866598,0.07419139295,0.08551364751,0.09612822768,0.0966771292,0.05764593901,0.09722603072,10,0
E22,***物流有限公司,0.08272431763,0.01171601235,0.06411662887,0.06901216977,0.08448052502,0.09349623574,0.09732090285,0.05922108796,0.10114557,10,0
E23,***贸易有限公司,0.03337482103,0.007559078312,0.02101795816,0.02495115091,0.03500867128,0.04082479351,0.04138176591,0.01708476541,0.04193873831,10,0
E24,***建筑工程有限公司,0.04702949043,0.01079664398,0.03379738165,0.03760773545,0.04703657904,0.06125175229,0.06316209082,0.02998702784,0.06507242935,10,0
E25,***通讯设备有限公司,0.08202047653,0.01265093024,0.06244474985,0.06726581422,0.08339407542,0.09686547054,0.09749426132,0.05762368548,0.0981230521,10,0
E26,***金属材料有限公司,0.1342940789,0.03835783272,0.0875650935,0.0957811141,0.1245747018,0.1782110185,0.1865270248,0.07934907291,0.1948430312,10,0
E27,***农业开发有限公司,0.1103832985,0.02152905982,0.07624126876,0.07939351639,0.113626318,0.1369068444,0.137933333,0.07308902112,0.1389598216,10,0
E28,***景观工程有限公司,0.09966092865,0.01717692788,0.07890170614,0.08259285105,0.09517578696,0.1193350508,0.122588717,0.07521056123,0.1258423832,10,0
E29,***建筑劳务有限公司,0.07253671793,0.01361709077,0.05327593081,0.05370720819,0.07142488688,0.08548890218,0.09013791241,0.05284465343,0.09478692263,10,1
E3,***电子(中国)有限公司***分公司,0.02153611417,0.005366525344,0.01541193448,0.01709205939,0.0208068941,0.025281018,0.02974551932,0.01373180958,0.03421002064,10,0
E30,***建筑工程有限公司,0.07713913412,0.01773649359,0.05553434881,0.05921251275,0.07564411217,0.1024182862,0.1031438115,0.05185618487,0.1038693367,10,0
E31,***食品有限公司,0.0367643069,0.007319852176,0.02435108092,0.02941905964,0.03807940847,0.04188668071,0.04411473716,0.01928310221,0.04634279361,10,0
E32,***建筑劳务有限公司,0.09279588464,0.01108628176,0.07407839152,0.08012089358,0.09520077845,0.104597557,0.105034173,0.06803588946,0.105470789,10,0
E33,***园林有限责任公司,0.09823760896,0.01943264216,0.0695267286,0.07475272273,0.1030535279,0.1158892222,0.119515204,0.06430073447,0.1231411858,10,0
E34,***建设工程有限公司,0.1015652078,0.02341628234,0.07223628294,0.07372993823,0.09601488643,0.1393444528,0.1398434978,0.07074262766,0.1403425428,10,0
E35,***商贸有限公司,0.08567951436,0.01484132083,0.06549022671,0.07299996107,0.08519443766,0.1006056864,0.1037214418,0.05798049236,0.1068371971,10,0
E36,***超硬材料有限公司,0.05081789908,0.008947238662,0.0390845084,0.03998372784,0.05130218537,0.06163613971,0.06222455263,0.03818528896,0.06281296556,10,1
E37,***木业有限公司,0.084549486,0.01474709212,0.06902232176,0.07194337804,0.08019785721,0.1088428529,0.1103470035,0.06610126549,0.1118511542,10,0
E38,***建设工程有限公司,0.1218095512,0.02099614329,0.09605446178,0.09740112963,0.1210452217,0.1460270212,0.1521819838,0.09470779394,0.1583369464,10,0
E39,***建筑劳务有限公司,0.1815109557,0.05025346351,0.101534144,0.1077965125,0.192360959,0.2307578892,0.2354836477,0.09527177555,0.2402094062,10,0
E4,***发展有限责任公司,0.03106769432,0.01426913404,0.01406654216,0.01750548103,0.03099625089,0.04400979025,0.05297169254,0.01062760328,0.06193359484,10,0
E40,***财税咨询服务有限公司,0.08113873174,0.01138659926,0.06450283655,0.0681229398,0.08532013695,0.09293248415,0.09478292459,0.06088273329,0.09663336503,10,0
E41,***物业发展有限公司,0.07916167381,0.01456430231,0.06280081341,0.06777391311,0.07491474539,0.09683047914,0.1027765482,0.05782771371,0.1087226172,10,0
E42,***园艺场,0.1200846128,0.02762033708,0.08343729333,0.08996997529,0.1314104132,0.1475914741,0.1513724171,0.07690461136,0.1551533601,10,0
E43,***建设工程有限公司,0.1927952664,0.03618161306,0.1637597175,0.1696715645,0.1804403796,0.2145282193,0.2507849127,0.1578478705,0.2870416062,10,0
E44,***商贸有限公司,0.08616234673,0.01535117768,0.0642054523,0.07477176588,0.08532690148,0.1035354806,0.1052627564,0.05363913872,0.1069900322,10,0
E45,个体经营E45,0.1068056002,0.0167773983,0.08134935002,0.08254502815,0.1090549341,0.1219197504,0.1285522592,0.0801536719,0.1351847679,10,1
E46,***广告传媒有限公司,0.05276002815,0.01191188356,0.03569457708,0.03614218573,0.05412971195,0.06245378683,0.06928198913,0.03524696843,0.07611019143,10,0
E47,***控制设备有限责任公司,0.05124807767,0.01066762223,0.03551563386,0.0448394732,0.05197447102,0.05822355401,0.06339591878,0.02619179453,0.06856828354,10,0
E48,***化工有限公司,0.07070577235,0.01465049084,0.05215366478,0.05625802921,0.06844546308,0.08921054517,0.09273333982,0.04804930034,0.09625613447,10,0
E49,***地球环保科技有限公司,0.09803729486,0.01674488043,0.07551270754,0.07705750614,0.1006878263,0.1105965348,0.1200844593,0.07396790893,0.1295723838,10,0
E5,***供应链管理有限公司,0.05668387407,0.01183994186,0.04286204045,0.04590820439,0.05490359499,0.07330978844,0.07384881636,0.0398158765,0.07438784428,10,0
E50,***建筑劳务有限公司,0.1692453772,0.02554849119,0.1389544595,0.1461841227,0.1637960983,0.2040258114,0.2058947358,0.1317247963,0.2077636602,10,0
E51,***物流有限公司,0.0697365828,0.01058866232,0.05179934168,0.05377402964,0.07025410063,0.07874952738,0.08171418114,0.04982465373,0.0846788349,10,0
E52,***商贸有限公司,0.2136303318,0.02350974023,0.1787718514,0.192258047,0.2119176178,0.2416471762,0.2444786982,0.1652856558,0.2473102202,10,1
E53,***文化传媒有限公司,0.107156181,0.02132723027,0.08047711585,0.0819389605,0.109750635,0.1294528809,0.1334376667,0.0790152712,0.1374224526,10,0
E54,***新技术开发有限公司,0.06439978133,0.01831170466,0.04006536531,0.04948011458,0.06133692281,0.08481402429,0.08798510687,0.03065061605,0.09115618944,10,0
E55,***集团有限公司***电力设备分公司,0.1835760094,0.04031931275,0.1352008078,0.1481904694,0.1724719222,0.2408611135,0.2479640336,0.1222111463,0.2550669537,10,0
E56,***家居材料***有限公司,0.08755638262,0.01676108494,0.06341929667,0.07203399939,0.08885804622,0.1073776577,0.1074019588,0.05480459396,0.1074262599,10,0
E57,***机械设备有限公司,0.1025680758,0.02342497837,0.06648859451,0.07488993663,0.1061709716,0.1291130293,0.1295426679,0.0580872524,0.1299723066,10,0
E58,***油气工程建设有限责任公司,0.1498825704,0.01613079357,0.1317831051,0.1370390164,0.1462327326,0.166452668,0.175355451,0.1265271939,0.1842582341,10,0
E59,***商贸有限公司,0.06896464342,0.009142496251,0.05636268755,0.05921025978,0.06783220701,0.07641618763,0.08218531754,0.05351511532,0.08795444744,10,0
E6,***装饰设计工程有限公司,0.03828902106,0.006169667983,0.02894339772,0.03088465826,0.03989110217,0.04389193776,0.04479604,0.02700213718,0.04570014223,10,0
E60,***机械租赁有限公司,0.2143912442,0.01760198505,0.1869073213,0.187834758,0.2196416771,0.2335825691,0.2340624955,0.1859798845,0.2345424219,10,0
E61,***调味品有限公司,0.07788330382,0.0129133045,0.06155897674,0.06542560897,0.07555178302,0.09484916536,0.09498138625,0.0576923445,0.09511360714,10,0
E62,***工程造价咨询有限公司***分公司,0.1214523958,0.02008369616,0.09284504534,0.09814841999,0.1205584086,0.1450170246,0.1505118306,0.0875416707,0.1560066366,10,0
E63,***科技有限公司,0.08368298573,0.01972562498,0.05405748089,0.05509591783,0.08456886115,0.1084106096,0.1097269004,0.05301904394,0.1110431913,10,0
E64,***图书有限责任公司,0.1124750355,0.01425940416,0.09891653082,0.1011279458,0.1091197882,0.1209520698,0.1345449143,0.09670511586,0.1481377588,10,0
E65,***商贸有限公司,0.0894097801,0.01281206028,0.06960052907,0.07530389264,0.08922506284,0.1016662421,0.1055497171,0.06389716549,0.1094331921,10,0
E66,***快递有限公司,0.2947622952,0.0624148144,0.2054640733,0.2423234274,0.2971798348,0.3741353375,0.3768674407,0.1686047193,0.3795995439,10,0
E67,***信息技术有限公司,0.1845447393,0.0244993618,0.1517730112,0.1531518704,0.1878033747,0.2088292217,0.2144108829,0.1503941521,0.219992544,10,0
E68,***花木总公司,0.3380718151,0.08105023836,0.275694165,0.2805406118,0.3171602903,0.3824767947,0.4629580692,0.2708477181,0.5434393437,10,0
E69,***电子器材经营部,0.2503652668,0.04400676014,0.2044718164,0.2088816627,0.2353015652,0.3207126735,0.3231100418,0.2000619701,0.32550741,10,0
E7,***家电有限公司***分公司,0.02580342326,0.01036390852,0.009235687766,0.01547037019,0.02878003758,0.03436137967,0.03615124704,0.003001005341,0.0379411144,10,0
E70,***科技有限公司,0.1379471805,0.01571482473,0.1139020225,0.1215670928,0.1424654399,0.1557212843,0.1559374263,0.1062369522,0.1561535682,10,0
E71,***农业科技有限公司,0.2041897012,0.06109422571,0.110209563,0.1413473558,0.2139458708,0.2461670708,0.276226774,0.07907177026,0.3062864772,10,0
E72,***图书有限公司,0.2897171126,0.04487283172,0.2228092576,0.2547354504,0.290146397,0.3383260035,0.3440259891,0.1908830649,0.3497259747,10,0
E73,***商贸有限责任公司,0.1183311273,0.02865812438,0.07752992326,0.08714372824,0.1215955491,0.150943928,0.1536439398,0.06791611829,0.1563439515,10,0
E74,***蔬菜专业合作社,0.1539591335,0.01869309808,0.1299882122,0.1310690153,0.1489214049,0.1754997095,0.1788616274,0.128907409,0.1822235454,10,0
E75,***酒店管理有限公司,0.1070850165,0.0261420901,0.06954493998,0.08759486581,0.1085790829,0.1282680192,0.1392442402,0.05149501415,0.1502204612,10,0
E76,***信息科技有限公司,0.1706660196,0.02303809012,0.1370321524,0.1396597065,0.176189285,0.1979402602,0.1980619494,0.1344045983,0.1981836386,10,0
E77,***机电设备有限公司,0.3665492679,0.08107081765,0.2510453729,0.2564731413,0.3671284594,0.4663549766,0.4794195657,0.2456176046,0.4924841547,10,0
E78,个体经营E78,0.1211539626,0.01644575991,0.1043250874,0.1104108119,0.1153354548,0.1481587806,0.1489764996,0.09823936298,0.1497942185,10,0
E79,***鞋业有限公司,0.2025177165,0.01476972031,0.1836635737,0.1908786176,0.2003621493,0.2207361419,0.223260339,0.1764485297,0.2257845361,10,0
E8,***科学研究院有限公司,0.02606005345,0.00720827644,0.01643841982,0.01867088877,0.02459557434,0.03439017911,0.0354237691,0.01420595088,0.03645735908,10,0
E80,***实业有限责任公司,0.3432370641,0.04591431682,0.272829588,0.3145191557,0.3435895184,0.3865190631,0.3866233703,0.2311400202,0.3867276775,10,0
E81,***机械设备有限公司,0.1154202468,0.01421555103,0.09676921661,0.1046116878,0.1124826793,0.1339413155,0.1354557924,0.08892674542,0.1369702692,10,0
E82,***商贸有限公司,0.194614899,0.02863463793,0.1631357251,0.1682017119,0.1848344062,0.2318618526,0.2415747226,0.1580697383,0.2512875925,10,1
E83,***社会福利院（***社会福利社会化服务中心）,0.5444532255,0.06494014251,0.4634453013,0.4756666332,0.5501629621,0.6237840466,0.6420978328,0.4512239694,0.6604116189,10,0
E84,***建材有限公司,0.1532688251,0.02083153789,0.1250444182,0.1369680816,0.1561066865,0.1694921296,0.180796753,0.1131207547,0.1921013763,10,0
E85,***安防科技有限公司,0.2264316686,0.01457434234,0.2063605513,0.21062117,0.226670467,0.2483347601,0.248723374,0.2020999326,0.2491119879,10,0
E86,***地质工程勘察院***分院,0.2808208394,0.08158151079,0.1746988762,0.202666177,0.2829039984,0.3548090468,0.3959545967,0.1467315753,0.4371001465,10,0
E87,***实业有限责任公司,0.234076271,0.0355407459,0.1909071449,0.1982418397,0.2265538913,0.2796569295,0.285338269,0.1835724502,0.2910196086,10,1
E88,***贸易有限公司,0.1654327803,0.02217580687,0.1334764671,0.1426857124,0.1683703785,0.189066442,0.1896965149,0.1242672219,0.1903265879,10,0
E89,***物资有限公司,0.3344336244,0.05129262942,0.2804163065,0.2896500967,0.3246694406,0.3672701532,0.4117174518,0.2711825163,0.4561647505,10,0
E9,***生活用品服务有限公司***分公司,0.02174866462,0.004496093452,0.01759735976,0.01786539184,0.02133022982,0.02531048472,0.02912196768,0.01732932769,0.03293345065,10,0
E90,***文化传媒有限责任公司,0.2928954659,0.02853566389,0.2543887185,0.2722645567,0.2899000519,0.3272754126,0.3353431954,0.2365128804,0.3434109781,10,0
E91,***科技实业有限公司,0.123879862,0.0326394165,0.07701406457,0.09497158574,0.1275164348,0.1563985381,0.165829706,0.05905654341,0.175260874,10,0
E92,***地质灾害防治有限公司,0.3701163354,0.05192319057,0.3070045552,0.3070762379,0.3860112994,0.4190045907,0.4269533976,0.3069328724,0.4349022046,10,0
E93,***电脑设计事务所,0.2376719561,0.02480233446,0.1962620437,0.2117032734,0.2481891501,0.2575297987,0.2587858999,0.180820814,0.2600420011,10,0
E94,***汽车美容有限公司,0.3420261826,0.04319019163,0.2900940542,0.2942395642,0.3356056256,0.3879661601,0.4010145913,0.2859485442,0.4140630225,10,0
E95,***兰花店,0.1441316116,0.02995526996,0.106632513,0.1193589449,0.1372697565,0.1745511804,0.1847010349,0.09390608111,0.1948508894,10,0
E96,***土地整理有限公司,0.8080355745,0.05159004935,0.7427202495,0.7489481602,0.8283243831,0.854739214,0.8636741265,0.7364923389,0.872609039,10,0
E97,***美工装饰部,0.2602897628,0.05717025668,0.1785681982,0.2100422722,0.2678635984,0.3283525845,0.3314028441,0.1470941241,0.3344531037,10,0
E98,***文化传播有限公司,0.2814270169,0.02284349069,0.2518018406,0.2519578983,0.2812707907,0.3034353338,0.3154601873,0.251645783,0.3274850409,10,0
E99,***建筑工程有限责任公司,0.5839846822,0.07979890618,0.4830643746,0.485861505,0.5828429683,0.6898712011,0.6976944295,0.4802672442,0.7055176579,10,1
